ÁöÁ¡,ÁöÁ¡¸í,ÀÏ½Ã,Æò±Õ ÇöÁö±â¾Ð(hPa)
105,°­¸ª,2017-01-01,1021.7
105,°­¸ª,2017-01-02,1016.1
105,°­¸ª,2017-01-03,1017.2
105,°­¸ª,2017-01-04,1019.7
105,°­¸ª,2017-01-05,1027
105,°­¸ª,2017-01-06,1024
105,°­¸ª,2017-01-07,1018.5
105,°­¸ª,2017-01-08,1011.7
105,°­¸ª,2017-01-09,1009.5
105,°­¸ª,2017-01-10,1015.8
105,°­¸ª,2017-01-11,1017.8
105,°­¸ª,2017-01-12,1009.9
105,°­¸ª,2017-01-13,1009.9
105,°­¸ª,2017-01-14,1017.8
105,°­¸ª,2017-01-15,1020.4
105,°­¸ª,2017-01-16,1025.2
105,°­¸ª,2017-01-17,1026.4
105,°­¸ª,2017-01-18,1024.6
105,°­¸ª,2017-01-19,1019
105,°­¸ª,2017-01-20,1015.2
105,°­¸ª,2017-01-21,1020.7
105,°­¸ª,2017-01-22,1019.1
105,°­¸ª,2017-01-23,1024.1
105,°­¸ª,2017-01-24,1027.8
105,°­¸ª,2017-01-25,1027.7
105,°­¸ª,2017-01-26,1018.9
105,°­¸ª,2017-01-27,1017.8
105,°­¸ª,2017-01-28,1022.3
105,°­¸ª,2017-01-29,1014.6
105,°­¸ª,2017-01-30,1017.8
105,°­¸ª,2017-01-31,1021.8
105,°­¸ª,2017-02-01,1020.9
105,°­¸ª,2017-02-02,1020.1
105,°­¸ª,2017-02-03,1019.7
105,°­¸ª,2017-02-04,1015.3
105,°­¸ª,2017-02-05,1007.3
105,°­¸ª,2017-02-06,1015.3
105,°­¸ª,2017-02-07,1020.8
105,°­¸ª,2017-02-08,1013.2
105,°­¸ª,2017-02-09,1007.6
105,°­¸ª,2017-02-10,1011
105,°­¸ª,2017-02-11,1017.5
105,°­¸ª,2017-02-12,1022.5
105,°­¸ª,2017-02-13,1025.1
105,°­¸ª,2017-02-14,1027.6
105,°­¸ª,2017-02-15,1022.6
105,°­¸ª,2017-02-16,1012.9
105,°­¸ª,2017-02-17,1013
105,°­¸ª,2017-02-18,1018
105,°­¸ª,2017-02-19,1010.7
105,°­¸ª,2017-02-20,1009.7
105,°­¸ª,2017-02-21,1025.7
105,°­¸ª,2017-02-22,1012.3
105,°­¸ª,2017-02-23,1011.2
105,°­¸ª,2017-02-24,1017.5
105,°­¸ª,2017-02-25,1016.1
105,°­¸ª,2017-02-26,1021.2
105,°­¸ª,2017-02-27,1023.1
105,°­¸ª,2017-02-28,1019.4
105,°­¸ª,2017-03-01,1012.5
105,°­¸ª,2017-03-02,1010
105,°­¸ª,2017-03-03,1013.9
105,°­¸ª,2017-03-04,1015
105,°­¸ª,2017-03-05,1011.1
105,°­¸ª,2017-03-06,1009.3
105,°­¸ª,2017-03-07,1009.6
105,°­¸ª,2017-03-08,1007.6
105,°­¸ª,2017-03-09,1006.2
105,°­¸ª,2017-03-10,1014.2
105,°­¸ª,2017-03-11,1018.6
105,°­¸ª,2017-03-12,1015.4
105,°­¸ª,2017-03-13,1014.9
105,°­¸ª,2017-03-14,1016.2
105,°­¸ª,2017-03-15,1020.2
105,°­¸ª,2017-03-16,1017.5
105,°­¸ª,2017-03-17,1019.1
105,°­¸ª,2017-03-18,1018.9
105,°­¸ª,2017-03-19,1022.2
105,°­¸ª,2017-03-20,1014.9
105,°­¸ª,2017-03-21,1012.9
105,°­¸ª,2017-03-22,1015.7
105,°­¸ª,2017-03-23,1018
105,°­¸ª,2017-03-24,1019.1
105,°­¸ª,2017-03-25,1016.9
105,°­¸ª,2017-03-26,1014.7
105,°­¸ª,2017-03-27,1014.7
105,°­¸ª,2017-03-28,1018.5
105,°­¸ª,2017-03-29,1016.9
105,°­¸ª,2017-03-30,1017.8
105,°­¸ª,2017-03-31,1017.3
105,°­¸ª,2017-04-01,1013.5
105,°­¸ª,2017-04-02,1013.6
105,°­¸ª,2017-04-03,1015.5
105,°­¸ª,2017-04-04,1018.1
105,°­¸ª,2017-04-05,1013.9
105,°­¸ª,2017-04-06,1006.2
105,°­¸ª,2017-04-07,1010.9
105,°­¸ª,2017-04-08,1007.5
105,°­¸ª,2017-04-09,1014.4
105,°­¸ª,2017-04-10,1012.3
105,°­¸ª,2017-04-11,1002.2
105,°­¸ª,2017-04-12,1009
105,°­¸ª,2017-04-13,1010.6
105,°­¸ª,2017-04-14,1006.2
105,°­¸ª,2017-04-15,1007.5
105,°­¸ª,2017-04-16,1008.8
105,°­¸ª,2017-04-17,999.9
105,°­¸ª,2017-04-18,993.7
105,°­¸ª,2017-04-19,1003.5
105,°­¸ª,2017-04-20,1007.6
105,°­¸ª,2017-04-21,1007.9
105,°­¸ª,2017-04-22,1009.8
105,°­¸ª,2017-04-23,1011.6
105,°­¸ª,2017-04-24,1013.2
105,°­¸ª,2017-04-25,1013.3
105,°­¸ª,2017-04-26,1012
105,°­¸ª,2017-04-27,1006.4
105,°­¸ª,2017-04-28,999.8
105,°­¸ª,2017-04-29,1000.7
105,°­¸ª,2017-04-30,1001.2
105,°­¸ª,2017-05-01,1015.4
105,°­¸ª,2017-05-02,1019.2
105,°­¸ª,2017-05-03,1017.3
105,°­¸ª,2017-05-04,1012.1
105,°­¸ª,2017-05-05,1007.4
105,°­¸ª,2017-05-06,1007.8
105,°­¸ª,2017-05-07,1006.2
105,°­¸ª,2017-05-08,1007
105,°­¸ª,2017-05-09,1008.9
105,°­¸ª,2017-05-10,1005.3
105,°­¸ª,2017-05-11,1005.6
105,°­¸ª,2017-05-12,1004.1
105,°­¸ª,2017-05-13,1001.4
105,°­¸ª,2017-05-14,1001.8
105,°­¸ª,2017-05-15,1006.4
105,°­¸ª,2017-05-16,1007.1
105,°­¸ª,2017-05-17,1007.5
105,°­¸ª,2017-05-18,1009.1
105,°­¸ª,2017-05-19,1008
105,°­¸ª,2017-05-20,1009.3
105,°­¸ª,2017-05-21,1009
105,°­¸ª,2017-05-22,1012.1
105,°­¸ª,2017-05-23,1007.2
105,°­¸ª,2017-05-24,1004.8
105,°­¸ª,2017-05-25,1000.3
105,°­¸ª,2017-05-26,1005.1
105,°­¸ª,2017-05-27,1008.8
105,°­¸ª,2017-05-28,1005.8
105,°­¸ª,2017-05-29,1006.8
105,°­¸ª,2017-05-30,1004.4
105,°­¸ª,2017-05-31,998.9
105,°­¸ª,2017-06-01,996.7
105,°­¸ª,2017-06-02,1001.3
105,°­¸ª,2017-06-03,1004.3
105,°­¸ª,2017-06-04,1008.4
105,°­¸ª,2017-06-05,1014.3
105,°­¸ª,2017-06-06,1011.3
105,°­¸ª,2017-06-07,1000.9
105,°­¸ª,2017-06-08,1003
105,°­¸ª,2017-06-09,1000.5
105,°­¸ª,2017-06-10,1004.3
105,°­¸ª,2017-06-11,1007.8
105,°­¸ª,2017-06-12,1014.2
105,°­¸ª,2017-06-13,1010.8
105,°­¸ª,2017-06-14,1004.9
105,°­¸ª,2017-06-15,1004.6
105,°­¸ª,2017-06-16,1008.9
105,°­¸ª,2017-06-17,1007.4
105,°­¸ª,2017-06-18,1005.9
105,°­¸ª,2017-06-19,1005
105,°­¸ª,2017-06-20,1002.1
105,°­¸ª,2017-06-21,1002.4
105,°­¸ª,2017-06-22,1004.4
105,°­¸ª,2017-06-23,1004.3
105,°­¸ª,2017-06-24,1001.2
105,°­¸ª,2017-06-25,1001
105,°­¸ª,2017-06-26,1006.3
105,°­¸ª,2017-06-27,1007.5
105,°­¸ª,2017-06-28,1009.3
105,°­¸ª,2017-06-29,1007.5
105,°­¸ª,2017-06-30,1002.9
105,°­¸ª,2017-07-01,1001.8
105,°­¸ª,2017-07-02,1003.6
105,°­¸ª,2017-07-03,1001.5
105,°­¸ª,2017-07-04,1003.8
105,°­¸ª,2017-07-05,1007.6
105,°­¸ª,2017-07-06,1007.2
105,°­¸ª,2017-07-07,1005.1
105,°­¸ª,2017-07-08,1002.5
105,°­¸ª,2017-07-09,1002.1
105,°­¸ª,2017-07-10,997.5
105,°­¸ª,2017-07-11,1001.6
105,°­¸ª,2017-07-12,1004.3
105,°­¸ª,2017-07-13,1001.9
105,°­¸ª,2017-07-14,1003
105,°­¸ª,2017-07-15,1004.9
105,°­¸ª,2017-07-16,1006.7
105,°­¸ª,2017-07-17,1006.5
105,°­¸ª,2017-07-18,1004.4
105,°­¸ª,2017-07-19,1002.3
105,°­¸ª,2017-07-20,1002.1
105,°­¸ª,2017-07-21,1003.8
105,°­¸ª,2017-07-22,1007.8
105,°­¸ª,2017-07-23,1002.2
105,°­¸ª,2017-07-24,1000
105,°­¸ª,2017-07-25,1003.2
105,°­¸ª,2017-07-26,1007
105,°­¸ª,2017-07-27,1006
105,°­¸ª,2017-07-28,1006.1
105,°­¸ª,2017-07-29,1007
105,°­¸ª,2017-07-30,1004.8
105,°­¸ª,2017-07-31,1007.3
105,°­¸ª,2017-08-01,1008.3
105,°­¸ª,2017-08-02,1006.7
105,°­¸ª,2017-08-03,1004.6
105,°­¸ª,2017-08-04,1003.6
105,°­¸ª,2017-08-05,1001.7
105,°­¸ª,2017-08-06,998.5
105,°­¸ª,2017-08-07,996.1
105,°­¸ª,2017-08-08,996.4
105,°­¸ª,2017-08-09,996.2
105,°­¸ª,2017-08-10,999.3
105,°­¸ª,2017-08-11,1005.2
105,°­¸ª,2017-08-12,1009.6
105,°­¸ª,2017-08-13,1009.8
105,°­¸ª,2017-08-14,1006.2
105,°­¸ª,2017-08-15,1003.3
105,°­¸ª,2017-08-16,1005.5
105,°­¸ª,2017-08-17,1007
105,°­¸ª,2017-08-18,1009.1
105,°­¸ª,2017-08-19,1011.1
105,°­¸ª,2017-08-20,1008.6
105,°­¸ª,2017-08-21,1004.1
105,°­¸ª,2017-08-22,1007.3
105,°­¸ª,2017-08-23,1007
105,°­¸ª,2017-08-24,1000.5
105,°­¸ª,2017-08-25,1003.9
105,°­¸ª,2017-08-26,1009.3
105,°­¸ª,2017-08-27,1012.1
105,°­¸ª,2017-08-28,1007.6
105,°­¸ª,2017-08-29,1009.9
105,°­¸ª,2017-08-30,1009
105,°­¸ª,2017-08-31,1009.9
105,°­¸ª,2017-09-01,1011.2
105,°­¸ª,2017-09-02,1011.3
105,°­¸ª,2017-09-03,1012.2
105,°­¸ª,2017-09-04,1012.5
105,°­¸ª,2017-09-05,1008.7
105,°­¸ª,2017-09-06,1003.8
105,°­¸ª,2017-09-07,1003.3
105,°­¸ª,2017-09-08,1006.6
105,°­¸ª,2017-09-09,1008.9
105,°­¸ª,2017-09-10,1011.2
105,°­¸ª,2017-09-11,1005.5
105,°­¸ª,2017-09-12,1009.1
105,°­¸ª,2017-09-13,1015.2
105,°­¸ª,2017-09-14,1017.7
105,°­¸ª,2017-09-15,1018.5
105,°­¸ª,2017-09-16,1013.7
105,°­¸ª,2017-09-17,1006.3
105,°­¸ª,2017-09-18,1003.7
105,°­¸ª,2017-09-19,1004.4
105,°­¸ª,2017-09-20,1007
105,°­¸ª,2017-09-21,1010.7
105,°­¸ª,2017-09-22,1009.6
105,°­¸ª,2017-09-23,1011.6
105,°­¸ª,2017-09-24,1011.4
105,°­¸ª,2017-09-25,1012.7
105,°­¸ª,2017-09-26,1009.6
105,°­¸ª,2017-09-27,1004.9
105,°­¸ª,2017-09-28,1005.6
105,°­¸ª,2017-09-29,1012.8
105,°­¸ª,2017-09-30,1016.9
105,°­¸ª,2017-10-01,1013.3
105,°­¸ª,2017-10-02,1009.7
105,°­¸ª,2017-10-03,1016.9
105,°­¸ª,2017-10-04,1022
105,°­¸ª,2017-10-05,1021.2
105,°­¸ª,2017-10-06,1017.7
105,°­¸ª,2017-10-07,1018
105,°­¸ª,2017-10-08,1019.3
105,°­¸ª,2017-10-09,1017.3
105,°­¸ª,2017-10-10,1016.5
105,°­¸ª,2017-10-11,1014.5
105,°­¸ª,2017-10-12,1017
105,°­¸ª,2017-10-13,1018.3
105,°­¸ª,2017-10-14,1022.6
105,°­¸ª,2017-10-15,1025.7
105,°­¸ª,2017-10-16,1023.8
105,°­¸ª,2017-10-17,1023
105,°­¸ª,2017-10-18,1021.9
105,°­¸ª,2017-10-19,1017.6
105,°­¸ª,2017-10-20,1016.5
105,°­¸ª,2017-10-21,1015.9
105,°­¸ª,2017-10-22,1013.4
105,°­¸ª,2017-10-23,1016
105,°­¸ª,2017-10-24,1021.2
105,°­¸ª,2017-10-25,1020
105,°­¸ª,2017-10-26,1017.6
105,°­¸ª,2017-10-27,1017.7
105,°­¸ª,2017-10-28,1018.1
105,°­¸ª,2017-10-29,1011.1
105,°­¸ª,2017-10-30,1019.5
105,°­¸ª,2017-10-31,1018.7
105,°­¸ª,2017-11-01,1015.2
105,°­¸ª,2017-11-02,1013.9
105,°­¸ª,2017-11-03,1014.5
105,°­¸ª,2017-11-04,1023.4
105,°­¸ª,2017-11-05,1022.1
105,°­¸ª,2017-11-06,1017.6
105,°­¸ª,2017-11-07,1015.3
105,°­¸ª,2017-11-08,1013.7
105,°­¸ª,2017-11-09,1020.2
105,°­¸ª,2017-11-10,1008.5
105,°­¸ª,2017-11-11,1016.1
105,°­¸ª,2017-11-12,1016.4
105,°­¸ª,2017-11-13,1011.7
105,°­¸ª,2017-11-14,1012.7
105,°­¸ª,2017-11-15,1015.4
105,°­¸ª,2017-11-16,1019.8
105,°­¸ª,2017-11-17,1014.6
105,°­¸ª,2017-11-18,1015.9
105,°­¸ª,2017-11-19,1020.4
105,°­¸ª,2017-11-20,1020.5
105,°­¸ª,2017-11-21,1020.8
105,°­¸ª,2017-11-22,1012.7
105,°­¸ª,2017-11-23,1015.1
105,°­¸ª,2017-11-24,1019.1
105,°­¸ª,2017-11-25,1019.4
105,°­¸ª,2017-11-26,1020.9
105,°­¸ª,2017-11-27,1021.9
105,°­¸ª,2017-11-28,1016.1
105,°­¸ª,2017-11-29,1018.2
105,°­¸ª,2017-11-30,1019.8
105,°­¸ª,2017-12-01,1024.4
105,°­¸ª,2017-12-02,1023.4
105,°­¸ª,2017-12-03,1018.5
105,°­¸ª,2017-12-04,1014.8
105,°­¸ª,2017-12-05,1015.9
105,°­¸ª,2017-12-06,1018.6
105,°­¸ª,2017-12-07,1016.6
105,°­¸ª,2017-12-08,1016.8
105,°­¸ª,2017-12-09,1015.2
105,°­¸ª,2017-12-10,1008.4
105,°­¸ª,2017-12-11,1014.6
105,°­¸ª,2017-12-12,1021.2
105,°­¸ª,2017-12-13,1024.2
105,°­¸ª,2017-12-14,1026.7
105,°­¸ª,2017-12-15,1020
105,°­¸ª,2017-12-16,1019.2
105,°­¸ª,2017-12-17,1023.1
105,°­¸ª,2017-12-18,1021.2
105,°­¸ª,2017-12-19,1024.4
105,°­¸ª,2017-12-20,1025.9
105,°­¸ª,2017-12-21,1024.1
105,°­¸ª,2017-12-22,1020.4
105,°­¸ª,2017-12-23,1017.8
105,°­¸ª,2017-12-24,1008.1
105,°­¸ª,2017-12-25,1015.1
105,°­¸ª,2017-12-26,1017.4
105,°­¸ª,2017-12-27,1021.4
105,°­¸ª,2017-12-28,1022.9
105,°­¸ª,2017-12-29,1020.9
105,°­¸ª,2017-12-30,1020.3
105,°­¸ª,2017-12-31,1015.6
105,°­¸ª,2018-01-01,1021.3
105,°­¸ª,2018-01-02,1021.7
105,°­¸ª,2018-01-03,1024.2
105,°­¸ª,2018-01-04,1022.5
105,°­¸ª,2018-01-05,1014.1
105,°­¸ª,2018-01-06,1017.1
105,°­¸ª,2018-01-07,1016.8
105,°­¸ª,2018-01-08,1004.8
105,°­¸ª,2018-01-09,1004.9
105,°­¸ª,2018-01-10,1011.6
105,°­¸ª,2018-01-11,1018.9
105,°­¸ª,2018-01-12,1023.7
105,°­¸ª,2018-01-13,1026.5
105,°­¸ª,2018-01-14,1023.7
105,°­¸ª,2018-01-15,1017.6
105,°­¸ª,2018-01-16,1013.9
105,°­¸ª,2018-01-17,1013.7
105,°­¸ª,2018-01-18,1017
105,°­¸ª,2018-01-19,1018.2
105,°­¸ª,2018-01-20,1017.6
105,°­¸ª,2018-01-21,1019.1
105,°­¸ª,2018-01-22,1011
105,°­¸ª,2018-01-23,1014.2
105,°­¸ª,2018-01-24,1020.2
105,°­¸ª,2018-01-25,1020.9
105,°­¸ª,2018-01-26,1021.5
105,°­¸ª,2018-01-27,1021.3
105,°­¸ª,2018-01-28,1014.2
105,°­¸ª,2018-01-29,1016.2
105,°­¸ª,2018-01-30,1019.2
105,°­¸ª,2018-01-31,1021.8
105,°­¸ª,2018-02-01,1024.6
105,°­¸ª,2018-02-02,1023.5
105,°­¸ª,2018-02-03,1019.2
105,°­¸ª,2018-02-04,1019.8
105,°­¸ª,2018-02-05,1018.9
105,°­¸ª,2018-02-06,1018.6
105,°­¸ª,2018-02-07,1020
105,°­¸ª,2018-02-08,1019.3
105,°­¸ª,2018-02-09,1017.6
105,°­¸ª,2018-02-10,1013.6
105,°­¸ª,2018-02-11,1015.4
105,°­¸ª,2018-02-12,1014.6
105,°­¸ª,2018-02-13,1016.2
105,°­¸ª,2018-02-14,1009.6
105,°­¸ª,2018-02-15,1017
105,°­¸ª,2018-02-16,1011.7
105,°­¸ª,2018-02-17,1017.6
105,°­¸ª,2018-02-18,1021.2
105,°­¸ª,2018-02-19,1018.8
105,°­¸ª,2018-02-20,1017.4
105,°­¸ª,2018-02-21,1019.4
105,°­¸ª,2018-02-22,1017
105,°­¸ª,2018-02-23,1016.2
105,°­¸ª,2018-02-24,1025
105,°­¸ª,2018-02-25,1021.7
105,°­¸ª,2018-02-26,1022.2
105,°­¸ª,2018-02-27,1019.5
105,°­¸ª,2018-02-28,1010.4
105,°­¸ª,2018-03-01,1001.8
105,°­¸ª,2018-03-02,1011.5
105,°­¸ª,2018-03-03,1008.2
105,°­¸ª,2018-03-04,1012.3
105,°­¸ª,2018-03-05,1019.8
105,°­¸ª,2018-03-06,1028
105,°­¸ª,2018-03-07,1026.4
105,°­¸ª,2018-03-08,1017.7
105,°­¸ª,2018-03-09,1021.5
105,°­¸ª,2018-03-10,1018.1
105,°­¸ª,2018-03-11,1020.3
105,°­¸ª,2018-03-12,1016.9
105,°­¸ª,2018-03-13,1011.4
105,°­¸ª,2018-03-14,1013.8
105,°­¸ª,2018-03-15,1011.6
105,°­¸ª,2018-03-16,1025.9
105,°­¸ª,2018-03-17,1023.5
105,°­¸ª,2018-03-18,1016.6
105,°­¸ª,2018-03-19,1019
105,°­¸ª,2018-03-20,1026.8
105,°­¸ª,2018-03-21,1017.1
105,°­¸ª,2018-03-22,1010.5
105,°­¸ª,2018-03-23,1013.7
105,°­¸ª,2018-03-24,1015.4
105,°­¸ª,2018-03-25,1016.5
105,°­¸ª,2018-03-26,1014.3
105,°­¸ª,2018-03-27,1011.2
105,°­¸ª,2018-03-28,1009.6
105,°­¸ª,2018-03-29,1018.2
105,°­¸ª,2018-03-30,1022.1
105,°­¸ª,2018-03-31,1014
105,°­¸ª,2018-04-01,1011.3
105,°­¸ª,2018-04-02,1009.9
105,°­¸ª,2018-04-03,1013.4
105,°­¸ª,2018-04-04,1020.2
105,°­¸ª,2018-04-05,1016.3
105,°­¸ª,2018-04-06,1005.3
105,°­¸ª,2018-04-07,1007.1
105,°­¸ª,2018-04-08,1011.2
105,°­¸ª,2018-04-09,1013.5
105,°­¸ª,2018-04-10,1005.3
105,°­¸ª,2018-04-11,1003.4
105,°­¸ª,2018-04-12,1011.9
105,°­¸ª,2018-04-13,1022
105,°­¸ª,2018-04-14,1006.8
105,°­¸ª,2018-04-15,1006.7
105,°­¸ª,2018-04-16,1016.6
105,°­¸ª,2018-04-17,1015.1
105,°­¸ª,2018-04-18,1010.8
105,°­¸ª,2018-04-19,1009.9
105,°­¸ª,2018-04-20,1014.3
105,°­¸ª,2018-04-21,1011.9
105,°­¸ª,2018-04-22,1020.1
105,°­¸ª,2018-04-23,1019.3
105,°­¸ª,2018-04-24,1012.4
105,°­¸ª,2018-04-25,1010.7
105,°­¸ª,2018-04-26,1007.7
105,°­¸ª,2018-04-27,1011.3
105,°­¸ª,2018-04-28,1008.7
105,°­¸ª,2018-04-29,1005.4
105,°­¸ª,2018-04-30,1009.6
105,°­¸ª,2018-05-01,1012.7
105,°­¸ª,2018-05-02,1004.3
105,°­¸ª,2018-05-03,1001.7
105,°­¸ª,2018-05-04,1004.4
105,°­¸ª,2018-05-05,1007.7
105,°­¸ª,2018-05-06,1006.3
105,°­¸ª,2018-05-07,1006.3
105,°­¸ª,2018-05-08,1016.2
105,°­¸ª,2018-05-09,1021
105,°­¸ª,2018-05-10,1016.7
105,°­¸ª,2018-05-11,1011.8
105,°­¸ª,2018-05-12,1006.6
105,°­¸ª,2018-05-13,1003.2
105,°­¸ª,2018-05-14,1005.5
105,°­¸ª,2018-05-15,1004.8
105,°­¸ª,2018-05-16,1000.7
105,°­¸ª,2018-05-17,1002.6
105,°­¸ª,2018-05-18,1007.7
105,°­¸ª,2018-05-19,1016.7
105,°­¸ª,2018-05-20,1020.6
105,°­¸ª,2018-05-21,1017.7
105,°­¸ª,2018-05-22,1009.6
105,°­¸ª,2018-05-23,1003.5
105,°­¸ª,2018-05-24,1002.1
105,°­¸ª,2018-05-25,1002.3
105,°­¸ª,2018-05-26,1007.3
105,°­¸ª,2018-05-27,1007.1
105,°­¸ª,2018-05-28,1008.3
105,°­¸ª,2018-05-29,1008.4
105,°­¸ª,2018-05-30,1006.3
105,°­¸ª,2018-05-31,1007.7
105,°­¸ª,2018-06-01,1010.5
105,°­¸ª,2018-06-02,1009.2
105,°­¸ª,2018-06-03,1007.9
105,°­¸ª,2018-06-04,1008.2
105,°­¸ª,2018-06-05,1007.5
105,°­¸ª,2018-06-06,1006.7
105,°­¸ª,2018-06-07,1005.8
105,°­¸ª,2018-06-08,1005.1
105,°­¸ª,2018-06-09,1008.8
105,°­¸ª,2018-06-10,1005.4
105,°­¸ª,2018-06-11,1000.6
105,°­¸ª,2018-06-12,1002
105,°­¸ª,2018-06-13,1006.3
105,°­¸ª,2018-06-14,1007.9
105,°­¸ª,2018-06-15,1011.8
105,°­¸ª,2018-06-16,1011.2
105,°­¸ª,2018-06-17,1006.7
105,°­¸ª,2018-06-18,1003.6
105,°­¸ª,2018-06-19,1000.1
105,°­¸ª,2018-06-20,998.9
105,°­¸ª,2018-06-21,1002.2
105,°­¸ª,2018-06-22,1003.8
105,°­¸ª,2018-06-23,998.8
105,°­¸ª,2018-06-24,1001.7
105,°­¸ª,2018-06-25,1007.1
105,°­¸ª,2018-06-26,1000.9
105,°­¸ª,2018-06-27,996.5
105,°­¸ª,2018-06-28,995.3
105,°­¸ª,2018-06-29,999.3
105,°­¸ª,2018-06-30,1006.9
105,°­¸ª,2018-07-01,1008.3
105,°­¸ª,2018-07-02,1004.7
105,°­¸ª,2018-07-03,998.6
105,°­¸ª,2018-07-04,996.3
105,°­¸ª,2018-07-05,1003.5
105,°­¸ª,2018-07-06,1009.7
105,°­¸ª,2018-07-07,1012
105,°­¸ª,2018-07-08,1013.4
105,°­¸ª,2018-07-09,1015.3
105,°­¸ª,2018-07-10,1013.5
105,°­¸ª,2018-07-11,1013.1
105,°­¸ª,2018-07-12,1008.4
105,°­¸ª,2018-07-13,1007
105,°­¸ª,2018-07-14,1006
105,°­¸ª,2018-07-15,1006.8
105,°­¸ª,2018-07-16,1007.1
105,°­¸ª,2018-07-17,1006.5
105,°­¸ª,2018-07-18,1007.6
105,°­¸ª,2018-07-19,1006.3
105,°­¸ª,2018-07-20,1004.7
105,°­¸ª,2018-07-21,1004.4
105,°­¸ª,2018-07-22,1004.1
105,°­¸ª,2018-07-23,1004.7
105,°­¸ª,2018-07-24,1004
105,°­¸ª,2018-07-25,1003.3
105,°­¸ª,2018-07-26,1003.2
105,°­¸ª,2018-07-27,1004.1
105,°­¸ª,2018-07-28,1004.5
105,°­¸ª,2018-07-29,1003.1
105,°­¸ª,2018-07-30,1003.8
105,°­¸ª,2018-07-31,1002.7
105,°­¸ª,2018-08-01,1001.8
105,°­¸ª,2018-08-02,1004.2
105,°­¸ª,2018-08-03,1004.4
105,°­¸ª,2018-08-04,1002.2
105,°­¸ª,2018-08-05,1002.5
105,°­¸ª,2018-08-06,1005.7
105,°­¸ª,2018-08-07,1005.6
105,°­¸ª,2018-08-08,1004.5
105,°­¸ª,2018-08-09,1002.3
105,°­¸ª,2018-08-10,1002.8
105,°­¸ª,2018-08-11,1004.6
105,°­¸ª,2018-08-12,1005.8
105,°­¸ª,2018-08-13,1007.3
105,°­¸ª,2018-08-14,1007.2
105,°­¸ª,2018-08-15,1006.2
105,°­¸ª,2018-08-16,1010.3
105,°­¸ª,2018-08-17,1012.4
105,°­¸ª,2018-08-18,1008.8
105,°­¸ª,2018-08-19,1008
105,°­¸ª,2018-08-20,1004
105,°­¸ª,2018-08-21,999.3
105,°­¸ª,2018-08-22,1004.4
105,°­¸ª,2018-08-23,1001
105,°­¸ª,2018-08-24,992.9
105,°­¸ª,2018-08-25,1004.3
105,°­¸ª,2018-08-26,1008.2
105,°­¸ª,2018-08-27,1008.9
105,°­¸ª,2018-08-28,1010.2
105,°­¸ª,2018-08-29,1006.4
105,°­¸ª,2018-08-30,1004.4
105,°­¸ª,2018-08-31,1006.9
105,°­¸ª,2018-09-01,1011.5
105,°­¸ª,2018-09-02,1008.7
105,°­¸ª,2018-09-03,1000
105,°­¸ª,2018-09-04,993.3
105,°­¸ª,2018-09-05,997
105,°­¸ª,2018-09-06,1000.2
105,°­¸ª,2018-09-07,1001
105,°­¸ª,2018-09-08,1010.5
105,°­¸ª,2018-09-09,1015.3
105,°­¸ª,2018-09-10,1020
105,°­¸ª,2018-09-11,1020.2
105,°­¸ª,2018-09-12,1017.3
105,°­¸ª,2018-09-13,1015.6
105,°­¸ª,2018-09-14,1014.9
105,°­¸ª,2018-09-15,1011.8
105,°­¸ª,2018-09-16,1011
105,°­¸ª,2018-09-17,1013.2
105,°­¸ª,2018-09-18,1013.5
105,°­¸ª,2018-09-19,1011.5
105,°­¸ª,2018-09-20,1010.2
105,°­¸ª,2018-09-21,1008.4
105,°­¸ª,2018-09-22,1010.1
105,°­¸ª,2018-09-23,1012
105,°­¸ª,2018-09-24,1014.9
105,°­¸ª,2018-09-25,1017.8
105,°­¸ª,2018-09-26,1019
105,°­¸ª,2018-09-27,1017.5
105,°­¸ª,2018-09-28,1016.9
