지점,지점명,일시,평균 현지기압(hPa)
216,태백,2017-01-01,940.2
216,태백,2017-01-02,934.9
216,태백,2017-01-03,935.3
216,태백,2017-01-04,936.9
216,태백,2017-01-05,942.5
216,태백,2017-01-06,940.9
216,태백,2017-01-07,936.3
216,태백,2017-01-08,929.4
216,태백,2017-01-09,928
216,태백,2017-01-10,932
216,태백,2017-01-11,933.5
216,태백,2017-01-12,927
216,태백,2017-01-13,925.7
216,태백,2017-01-14,931.5
216,태백,2017-01-15,935.9
216,태백,2017-01-16,939.9
216,태백,2017-01-17,942.7
216,태백,2017-01-18,940.9
216,태백,2017-01-19,935.5
216,태백,2017-01-20,930.7
216,태백,2017-01-21,936.3
216,태백,2017-01-22,933.5
216,태백,2017-01-23,938.1
216,태백,2017-01-24,942.2
216,태백,2017-01-25,943.1
216,태백,2017-01-26,937.3
216,태백,2017-01-27,935.7
216,태백,2017-01-28,938.8
216,태백,2017-01-29,931.9
216,태백,2017-01-30,933.3
216,태백,2017-01-31,937.7
216,태백,2017-02-01,936.8
216,태백,2017-02-02,937.9
216,태백,2017-02-03,937.7
216,태백,2017-02-04,933.9
216,태백,2017-02-05,925.6
216,태백,2017-02-06,931.7
216,태백,2017-02-07,936.8
216,태백,2017-02-08,930.3
216,태백,2017-02-09,923.9
216,태백,2017-02-10,925.9
216,태백,2017-02-11,932.9
216,태백,2017-02-12,938.3
216,태백,2017-02-13,941.2
216,태백,2017-02-14,943.2
216,태백,2017-02-15,941.1
216,태백,2017-02-16,932.8
216,태백,2017-02-17,931.3
216,태백,2017-02-18,934.5
216,태백,2017-02-19,929.2
216,태백,2017-02-20,926.9
216,태백,2017-02-21,941.3
216,태백,2017-02-22,929.8
216,태백,2017-02-23,928.4
216,태백,2017-02-24,934.3
216,태백,2017-02-25,933.7
216,태백,2017-02-26,937.6
216,태백,2017-02-27,940.2
216,태백,2017-02-28,937.9
216,태백,2017-03-01,930.9
216,태백,2017-03-02,927
216,태백,2017-03-03,932.5
216,태백,2017-03-04,932.9
216,태백,2017-03-05,929.6
216,태백,2017-03-06,926.3
216,태백,2017-03-07,926.3
216,태백,2017-03-08,925.4
216,태백,2017-03-09,924.8
216,태백,2017-03-10,931.9
216,태백,2017-03-11,937.2
216,태백,2017-03-12,934.9
216,태백,2017-03-13,932.2
216,태백,2017-03-14,932.7
216,태백,2017-03-15,936.8
216,태백,2017-03-16,935.5
216,태백,2017-03-17,937.5
216,태백,2017-03-18,938.5
216,태백,2017-03-19,940.8
216,태백,2017-03-20,935.2
216,태백,2017-03-21,930.6
216,태백,2017-03-22,934.3
216,태백,2017-03-23,935.4
216,태백,2017-03-24,936.4
216,태백,2017-03-25,934.8
216,태백,2017-03-26,932.5
216,태백,2017-03-27,933
216,태백,2017-03-28,936.7
216,태백,2017-03-29,936.3
216,태백,2017-03-30,936.6
216,태백,2017-03-31,934.8
216,태백,2017-04-01,930.9
216,태백,2017-04-02,932.5
216,태백,2017-04-03,936.9
216,태백,2017-04-04,939.2
216,태백,2017-04-05,934.6
216,태백,2017-04-06,927.7
216,태백,2017-04-07,931.5
216,태백,2017-04-08,929
216,태백,2017-04-09,933
216,태백,2017-04-10,931.1
216,태백,2017-04-11,922.5
216,태백,2017-04-12,928.6
216,태백,2017-04-13,931.5
216,태백,2017-04-14,928.8
216,태백,2017-04-15,930.7
216,태백,2017-04-16,932.5
216,태백,2017-04-17,920.5
216,태백,2017-04-18,915.7
216,태백,2017-04-19,924.7
216,태백,2017-04-20,928.7
216,태백,2017-04-21,927.9
216,태백,2017-04-22,930.2
216,태백,2017-04-23,933.4
216,태백,2017-04-24,935
216,태백,2017-04-25,934.5
216,태백,2017-04-26,931.6
216,태백,2017-04-27,927.3
216,태백,2017-04-28,922.4
216,태백,2017-04-29,923.9
216,태백,2017-04-30,925.8
216,태백,2017-05-01,935.8
216,태백,2017-05-02,939.9
216,태백,2017-05-03,939.1
216,태백,2017-05-04,934.5
216,태백,2017-05-05,930.4
216,태백,2017-05-06,930.2
216,태백,2017-05-07,928.8
216,태백,2017-05-08,931.2
216,태백,2017-05-09,929.4
216,태백,2017-05-10,926.6
216,태백,2017-05-11,929.6
216,태백,2017-05-12,928.4
216,태백,2017-05-13,923.7
216,태백,2017-05-14,924.7
216,태백,2017-05-15,928.3
216,태백,2017-05-16,928.3
216,태백,2017-05-17,929.5
216,태백,2017-05-18,933
216,태백,2017-05-19,933.3
216,태백,2017-05-20,933.2
216,태백,2017-05-21,932.8
216,태백,2017-05-22,932.8
216,태백,2017-05-23,929.4
216,태백,2017-05-24,927.1
216,태백,2017-05-25,923
216,태백,2017-05-26,925.2
216,태백,2017-05-27,930.1
216,태백,2017-05-28,929.8
216,태백,2017-05-29,930.2
216,태백,2017-05-30,929
216,태백,2017-05-31,923.2
216,태백,2017-06-01,919
216,태백,2017-06-02,922.8
216,태백,2017-06-03,925.7
216,태백,2017-06-04,929.9
216,태백,2017-06-05,935.1
216,태백,2017-06-06,933.2
216,태백,2017-06-07,923.5
216,태백,2017-06-08,927.3
216,태백,2017-06-09,925.4
216,태백,2017-06-10,926.3
216,태백,2017-06-11,929
216,태백,2017-06-12,934.5
216,태백,2017-06-13,932.9
216,태백,2017-06-14,928.7
216,태백,2017-06-15,927.5
216,태백,2017-06-16,930.7
216,태백,2017-06-17,930.1
216,태백,2017-06-18,929.6
216,태백,2017-06-19,929
216,태백,2017-06-20,925.8
216,태백,2017-06-21,925.6
216,태백,2017-06-22,928.3
216,태백,2017-06-23,927.5
216,태백,2017-06-24,924.3
216,태백,2017-06-25,924
216,태백,2017-06-26,928.7
216,태백,2017-06-27,930.5
216,태백,2017-06-28,932.1
216,태백,2017-06-29,931.3
216,태백,2017-06-30,928.1
216,태백,2017-07-01,927.4
216,태백,2017-07-02,928
216,태백,2017-07-03,926.3
216,태백,2017-07-04,927.1
216,태백,2017-07-05,931.1
216,태백,2017-07-06,931.5
216,태백,2017-07-07,929.7
216,태백,2017-07-08,927.9
216,태백,2017-07-09,927.9
216,태백,2017-07-10,923.7
216,태백,2017-07-11,927.3
216,태백,2017-07-12,930.2
216,태백,2017-07-13,928.3
216,태백,2017-07-14,929.1
216,태백,2017-07-15,930.3
216,태백,2017-07-16,932.3
216,태백,2017-07-17,932
216,태백,2017-07-18,929.9
216,태백,2017-07-19,927.9
216,태백,2017-07-20,928.1
216,태백,2017-07-21,929.7
216,태백,2017-07-22,930.9
216,태백,2017-07-23,926.2
216,태백,2017-07-24,924.3
216,태백,2017-07-25,926.7
216,태백,2017-07-26,930.3
216,태백,2017-07-27,929.8
216,태백,2017-07-28,929.6
216,태백,2017-07-29,930.2
216,태백,2017-07-30,928.8
216,태백,2017-07-31,930.5
216,태백,2017-08-01,931.6
216,태백,2017-08-02,930.1
216,태백,2017-08-03,928.6
216,태백,2017-08-04,928.1
216,태백,2017-08-05,926.5
216,태백,2017-08-06,923.4
216,태백,2017-08-07,921.1
216,태백,2017-08-08,921.6
216,태백,2017-08-09,920.6
216,태백,2017-08-10,922.8
216,태백,2017-08-11,928.2
216,태백,2017-08-12,932.4
216,태백,2017-08-13,932.3
216,태백,2017-08-14,928.8
216,태백,2017-08-15,926.3
216,태백,2017-08-16,927.8
216,태백,2017-08-17,929.6
216,태백,2017-08-18,931.9
216,태백,2017-08-19,933.7
216,태백,2017-08-20,931.8
216,태백,2017-08-21,929.2
216,태백,2017-08-22,932.2
216,태백,2017-08-23,932.5
216,태백,2017-08-24,926.6
216,태백,2017-08-25,928.4
216,태백,2017-08-26,932.8
216,태백,2017-08-27,935.2
216,태백,2017-08-28,930.9
216,태백,2017-08-29,931.6
216,태백,2017-08-30,931.9
216,태백,2017-08-31,931.8
216,태백,2017-09-01,933
216,태백,2017-09-02,933.2
216,태백,2017-09-03,935
216,태백,2017-09-04,935.7
216,태백,2017-09-05,931.9
216,태백,2017-09-06,927.6
216,태백,2017-09-07,926.9
216,태백,2017-09-08,930.9
216,태백,2017-09-09,932.8
216,태백,2017-09-10,934.2
216,태백,2017-09-11,927.6
216,태백,2017-09-12,932.1
216,태백,2017-09-13,937
216,태백,2017-09-14,939
216,태백,2017-09-15,939.4
216,태백,2017-09-16,934.7
216,태백,2017-09-17,927.5
216,태백,2017-09-18,927.2
216,태백,2017-09-19,928.8
216,태백,2017-09-20,929.7
216,태백,2017-09-21,933.3
216,태백,2017-09-22,932.3
216,태백,2017-09-23,934.3
216,태백,2017-09-24,934.6
216,태백,2017-09-25,934.9
216,태백,2017-09-26,932.6
216,태백,2017-09-27,927.8
216,태백,2017-09-28,928.1
216,태백,2017-09-29,934.3
216,태백,2017-09-30,939.6
216,태백,2017-10-01,936.5
216,태백,2017-10-02,930.8
216,태백,2017-10-03,936.8
216,태백,2017-10-04,941.4
216,태백,2017-10-05,942
216,태백,2017-10-06,937.8
216,태백,2017-10-07,938.9
216,태백,2017-10-08,941.3
216,태백,2017-10-09,940
216,태백,2017-10-10,937.6
216,태백,2017-10-11,934.6
216,태백,2017-10-12,936.6
216,태백,2017-10-13,937.4
216,태백,2017-10-14,941.7
216,태백,2017-10-15,944.9
216,태백,2017-10-16,943.4
216,태백,2017-10-17,942.4
216,태백,2017-10-18,941.3
216,태백,2017-10-19,937.3
216,태백,2017-10-20,936.9
216,태백,2017-10-21,936.2
216,태백,2017-10-22,931.7
216,태백,2017-10-23,934.8
216,태백,2017-10-24,940.6
216,태백,2017-10-25,940.5
216,태백,2017-10-26,938
216,태백,2017-10-27,938
216,태백,2017-10-28,938.3
216,태백,2017-10-29,931.3
216,태백,2017-10-30,938.1
216,태백,2017-10-31,938.9
216,태백,2017-11-01,936.6
216,태백,2017-11-02,935
216,태백,2017-11-03,934.6
216,태백,2017-11-04,941.2
216,태백,2017-11-05,941.7
216,태백,2017-11-06,938.7
216,태백,2017-11-07,936.7
216,태백,2017-11-08,934.5
216,태백,2017-11-09,939.5
216,태백,2017-11-10,930
216,태백,2017-11-11,934.2
216,태백,2017-11-12,935.5
216,태백,2017-11-13,932.1
216,태백,2017-11-14,931.7
216,태백,2017-11-15,932.6
216,태백,2017-11-16,936.7
216,태백,2017-11-17,933.4
216,태백,2017-11-18,932.1
216,태백,2017-11-19,936.4
216,태백,2017-11-20,937.2
216,태백,2017-11-21,938.4
216,태백,2017-11-22,931.3
216,태백,2017-11-23,932
216,태백,2017-11-24,935.3
216,태백,2017-11-25,937.6
216,태백,2017-11-26,938.2
216,태백,2017-11-27,940.2
216,태백,2017-11-28,936
216,태백,2017-11-29,936.7
216,태백,2017-11-30,936.9
216,태백,2017-12-01,940.1
216,태백,2017-12-02,940.2
216,태백,2017-12-03,936.8
216,태백,2017-12-04,932
216,태백,2017-12-05,931.2
216,태백,2017-12-06,935
216,태백,2017-12-07,933.6
216,태백,2017-12-08,932.8
216,태백,2017-12-09,932.1
216,태백,2017-12-10,926.6
216,태백,2017-12-11,929.5
216,태백,2017-12-12,936.1
216,태백,2017-12-13,939.1
216,태백,2017-12-14,942.2
216,태백,2017-12-15,936.9
216,태백,2017-12-16,934.3
216,태백,2017-12-17,938
216,태백,2017-12-18,937.4
216,태백,2017-12-19,939.6
216,태백,2017-12-20,941.7
216,태백,2017-12-21,940.8
216,태백,2017-12-22,938.5
216,태백,2017-12-23,936.6
216,태백,2017-12-24,926.5
216,태백,2017-12-25,931.6
216,태백,2017-12-26,932.6
216,태백,2017-12-27,936.7
216,태백,2017-12-28,939.1
216,태백,2017-12-29,938.6
216,태백,2017-12-30,937.7
216,태백,2017-12-31,932.8
216,태백,2018-01-01,937.6
216,태백,2018-01-02,937.8
216,태백,2018-01-03,939.4
216,태백,2018-01-04,937.6
216,태백,2018-01-05,931.2
216,태백,2018-01-06,933.7
216,태백,2018-01-07,934.5
216,태백,2018-01-08,923.4
216,태백,2018-01-09,921.6
216,태백,2018-01-10,926.4
216,태백,2018-01-11,932.6
216,태백,2018-01-12,937.5
216,태백,2018-01-13,942
216,태백,2018-01-14,940.8
216,태백,2018-01-15,935.9
216,태백,2018-01-16,932.1
216,태백,2018-01-17,931.4
216,태백,2018-01-18,934.6
216,태백,2018-01-19,935.3
216,태백,2018-01-20,934.9
216,태백,2018-01-21,935.6
216,태백,2018-01-22,928.2
216,태백,2018-01-23,928.3
216,태백,2018-01-24,932.5
216,태백,2018-01-25,933.8
216,태백,2018-01-26,934.1
216,태백,2018-01-27,936.2
216,태백,2018-01-28,930.1
216,태백,2018-01-29,930.5
216,태백,2018-01-30,934.7
216,태백,2018-01-31,937.5
216,태백,2018-02-01,939.3
216,태백,2018-02-02,938.5
216,태백,2018-02-03,934.5
216,태백,2018-02-04,934
216,태백,2018-02-05,932.5
216,태백,2018-02-06,931.9
216,태백,2018-02-07,934.4
216,태백,2018-02-08,935.1
216,태백,2018-02-09,934.6
216,태백,2018-02-10,930.8
216,태백,2018-02-11,930.2
216,태백,2018-02-12,929
216,태백,2018-02-13,932.4
216,태백,2018-02-14,929.4
216,태백,2018-02-15,932.8
216,태백,2018-02-16,928.8
216,태백,2018-02-17,933.3
216,태백,2018-02-18,936.9
216,태백,2018-02-19,935.8
216,태백,2018-02-20,934.4
216,태백,2018-02-21,934.7
216,태백,2018-02-22,934
216,태백,2018-02-23,934.1
216,태백,2018-02-24,940
216,태백,2018-02-25,937.5
216,태백,2018-02-26,937.9
216,태백,2018-02-27,936.8
216,태백,2018-02-28,927
216,태백,2018-03-01,919.9
216,태백,2018-03-02,929.2
216,태백,2018-03-03,929.3
216,태백,2018-03-04,931.1
216,태백,2018-03-05,934.2
216,태백,2018-03-06,943.2
216,태백,2018-03-07,942.6
216,태백,2018-03-08,932.9
216,태백,2018-03-09,936.9
216,태백,2018-03-10,936.2
216,태백,2018-03-11,937.9
216,태백,2018-03-12,936.6
216,태백,2018-03-13,933.6
216,태백,2018-03-14,935.5
216,태백,2018-03-15,931.3
216,태백,2018-03-16,940.6
216,태백,2018-03-17,940.8
216,태백,2018-03-18,935.9
216,태백,2018-03-19,935.3
216,태백,2018-03-20,940.3
216,태백,2018-03-21,931.1
216,태백,2018-03-22,927.9
216,태백,2018-03-23,932.7
216,태백,2018-03-24,935.5
216,태백,2018-03-25,938
216,태백,2018-03-26,936.1
216,태백,2018-03-27,933.4
216,태백,2018-03-28,932.2
216,태백,2018-03-29,937
216,태백,2018-03-30,940.7
216,태백,2018-03-31,935.5
216,태백,2018-04-01,933.3
216,태백,2018-04-02,932.9
216,태백,2018-04-03,934.2
216,태백,2018-04-04,936.7
216,태백,2018-04-05,934
216,태백,2018-04-06,924.4
216,태백,2018-04-07,925.5
216,태백,2018-04-08,928.9
216,태백,2018-04-09,932.6
216,태백,2018-04-10,928.7
216,태백,2018-04-11,925.7
216,태백,2018-04-12,932.7
216,태백,2018-04-13,940.3
216,태백,2018-04-14,925.6
216,태백,2018-04-15,926.7
216,태백,2018-04-16,935.5
216,태백,2018-04-17,935.6
216,태백,2018-04-18,932.8
216,태백,2018-04-19,933
216,태백,2018-04-20,937.2
216,태백,2018-04-21,935.7
216,태백,2018-04-22,938.4
216,태백,2018-04-23,936.5
216,태백,2018-04-24,930
216,태백,2018-04-25,930.9
216,태백,2018-04-26,930.3
216,태백,2018-04-27,931.3
216,태백,2018-04-28,932.3
216,태백,2018-04-29,929.5
216,태백,2018-04-30,932.1
216,태백,2018-05-01,932.7
216,태백,2018-05-02,923.4
216,태백,2018-05-03,922.5
216,태백,2018-05-04,926.9
216,태백,2018-05-05,931.5
216,태백,2018-05-06,927.1
216,태백,2018-05-07,926.7
216,태백,2018-05-08,934.2
216,태백,2018-05-09,938.8
216,태백,2018-05-10,938
216,태백,2018-05-11,934.4
216,태백,2018-05-12,928.7
216,태백,2018-05-13,925.3
216,태백,2018-05-14,929.4
216,태백,2018-05-15,929.6
216,태백,2018-05-16,926.3
216,태백,2018-05-17,925
216,태백,2018-05-18,926.1
216,태백,2018-05-19,935.8
216,태백,2018-05-20,939.3
216,태백,2018-05-21,937.2
216,태백,2018-05-22,931.2
216,태백,2018-05-23,925.2
216,태백,2018-05-24,927.1
216,태백,2018-05-25,926.6
216,태백,2018-05-26,928.7
216,태백,2018-05-27,929.2
216,태백,2018-05-28,929.7
216,태백,2018-05-29,930.4
216,태백,2018-05-30,928.9
216,태백,2018-05-31,929.9
216,태백,2018-06-01,934
216,태백,2018-06-02,933.8
216,태백,2018-06-03,932.5
216,태백,2018-06-04,932
216,태백,2018-06-05,931.4
216,태백,2018-06-06,931
216,태백,2018-06-07,930.4
216,태백,2018-06-08,928
216,태백,2018-06-09,929.6
216,태백,2018-06-10,926.3
216,태백,2018-06-11,921.6
216,태백,2018-06-12,923
216,태백,2018-06-13,927.4
216,태백,2018-06-14,929.4
216,태백,2018-06-15,932.1
216,태백,2018-06-16,932.2
216,태백,2018-06-17,930.1
216,태백,2018-06-18,927.3
216,태백,2018-06-19,924.6
216,태백,2018-06-20,922.7
216,태백,2018-06-21,925.7
216,태백,2018-06-22,928.4
216,태백,2018-06-23,924.2
216,태백,2018-06-24,927.4
216,태백,2018-06-25,931.1
216,태백,2018-06-26,925.4
216,태백,2018-06-27,921.9
216,태백,2018-06-28,920.7
216,태백,2018-06-29,924
216,태백,2018-06-30,930.9
216,태백,2018-07-01,931.2
216,태백,2018-07-02,929
216,태백,2018-07-03,922.7
216,태백,2018-07-04,919.5
216,태백,2018-07-05,925.7
216,태백,2018-07-06,930.2
216,태백,2018-07-07,932.3
216,태백,2018-07-08,934
216,태백,2018-07-09,936.3
216,태백,2018-07-10,935.8
216,태백,2018-07-11,936.1
216,태백,2018-07-12,933.5
216,태백,2018-07-13,932.5
216,태백,2018-07-14,931.6
216,태백,2018-07-15,932.7
216,태백,2018-07-16,932.8
216,태백,2018-07-17,932.3
216,태백,2018-07-18,932.3
216,태백,2018-07-19,931.7
216,태백,2018-07-20,930.7
216,태백,2018-07-21,930.5
216,태백,2018-07-22,930.4
216,태백,2018-07-23,930.6
216,태백,2018-07-24,929.6
216,태백,2018-07-25,929.1
216,태백,2018-07-26,929
216,태백,2018-07-27,929.2
216,태백,2018-07-28,928.8
216,태백,2018-07-29,926.3
216,태백,2018-07-30,927.7
216,태백,2018-07-31,927.6
216,태백,2018-08-01,927
216,태백,2018-08-02,929
216,태백,2018-08-03,929.8
216,태백,2018-08-04,928.8
216,태백,2018-08-05,928.3
216,태백,2018-08-06,929.4
216,태백,2018-08-07,929.8
216,태백,2018-08-08,928.8
216,태백,2018-08-09,926.6
216,태백,2018-08-10,926.5
216,태백,2018-08-11,928.6
216,태백,2018-08-12,930.2
216,태백,2018-08-13,932.2
216,태백,2018-08-14,932.5
216,태백,2018-08-15,930.5
216,태백,2018-08-16,932.6
216,태백,2018-08-17,934.6
216,태백,2018-08-18,932
216,태백,2018-08-19,931.3
216,태백,2018-08-20,928.2
216,태백,2018-08-21,925.2
216,태백,2018-08-22,928.6
216,태백,2018-08-23,924.7
216,태백,2018-08-24,917.8
216,태백,2018-08-25,929.2
216,태백,2018-08-26,932.4
216,태백,2018-08-27,932
216,태백,2018-08-28,933.1
216,태백,2018-08-29,930.7
216,태백,2018-08-30,929.7
216,태백,2018-08-31,930.5
216,태백,2018-09-01,933.4
216,태백,2018-09-02,931
216,태백,2018-09-03,923.6
216,태백,2018-09-04,917.6
216,태백,2018-09-05,922
216,태백,2018-09-06,925.2
216,태백,2018-09-07,925.1
216,태백,2018-09-08,932.7
216,태백,2018-09-09,936.5
216,태백,2018-09-10,940.6
216,태백,2018-09-11,940.8
216,태백,2018-09-12,938.5
216,태백,2018-09-13,937.6
216,태백,2018-09-14,936.7
216,태백,2018-09-15,934.4
216,태백,2018-09-16,934.1
216,태백,2018-09-17,935.8
216,태백,2018-09-18,935.7
216,태백,2018-09-19,933.8
216,태백,2018-09-20,931.5
216,태백,2018-09-21,930
216,태백,2018-09-22,933.1
216,태백,2018-09-23,934.3
216,태백,2018-09-24,936
216,태백,2018-09-25,938.2
216,태백,2018-09-26,939
216,태백,2018-09-27,937.7
216,태백,2018-09-28,937.8
216,태백,2018-09-29,933.8
216,태백,2018-09-30,923.5
