瘤痢,瘤痢疙,老矫,钦拌 老炼矫埃(hr)
114,盔林,2017-01-01,0.7
114,盔林,2017-01-02,0.8
114,盔林,2017-01-03,6.7
114,盔林,2017-01-04,5.6
114,盔林,2017-01-05,0.1
114,盔林,2017-01-06,8.4
114,盔林,2017-01-07,6.0
114,盔林,2017-01-08,5.7
114,盔林,2017-01-09,5.7
114,盔林,2017-01-10,7.5
114,盔林,2017-01-11,8.3
114,盔林,2017-01-12,6.8
114,盔林,2017-01-13,3.1
114,盔林,2017-01-14,8.8
114,盔林,2017-01-15,8.8
114,盔林,2017-01-16,8.8
114,盔林,2017-01-17,8.4
114,盔林,2017-01-18,4.1
114,盔林,2017-01-19,7.0
114,盔林,2017-01-20,0.5
114,盔林,2017-01-21,4.0
114,盔林,2017-01-22,8.9
114,盔林,2017-01-23,9.0
114,盔林,2017-01-24,9.0
114,盔林,2017-01-25,9.0
114,盔林,2017-01-26,7.1
114,盔林,2017-01-27,8.9
114,盔林,2017-01-28,7.5
114,盔林,2017-01-29,0.0
114,盔林,2017-01-30,0.3
114,盔林,2017-01-31,7.5
114,盔林,2017-02-01,9.1
114,盔林,2017-02-02,9.4
114,盔林,2017-02-03,4.5
114,盔林,2017-02-04,0.4
114,盔林,2017-02-05,0.0
114,盔林,2017-02-06,9.0
114,盔林,2017-02-07,2.8
114,盔林,2017-02-08,0.8
114,盔林,2017-02-09,6.7
114,盔林,2017-02-10,9.0
114,盔林,2017-02-11,9.7
114,盔林,2017-02-12,9.8
114,盔林,2017-02-13,6.8
114,盔林,2017-02-14,6.9
114,盔林,2017-02-15,8.9
114,盔林,2017-02-18,9.4
114,盔林,2017-02-19,2.8
114,盔林,2017-02-20,8.3
114,盔林,2017-02-21,10.0
114,盔林,2017-02-22,0.0
114,盔林,2017-02-23,1.2
114,盔林,2017-02-24,7.3
114,盔林,2017-02-25,8.8
114,盔林,2017-02-26,8.0
114,盔林,2017-02-27,10.2
114,盔林,2017-02-28,10.1
114,盔林,2017-03-01,0.3
114,盔林,2017-03-02,0.3
114,盔林,2017-03-03,10.2
114,盔林,2017-03-04,10.4
114,盔林,2017-03-05,5.5
114,盔林,2017-03-06,9.8
114,盔林,2017-03-07,10.6
114,盔林,2017-03-08,8.0
114,盔林,2017-03-09,9.6
114,盔林,2017-03-10,10.7
114,盔林,2017-03-11,10.6
114,盔林,2017-03-12,4.3
114,盔林,2017-03-13,9.3
114,盔林,2017-03-14,6.1
114,盔林,2017-03-15,10.9
114,盔林,2017-03-16,10.3
114,盔林,2017-03-17,10.8
114,盔林,2017-03-18,7.8
114,盔林,2017-03-19,10.7
114,盔林,2017-03-20,1.8
114,盔林,2017-03-21,3.8
114,盔林,2017-03-22,9.8
114,盔林,2017-03-23,6.8
114,盔林,2017-03-24,7.1
114,盔林,2017-03-25,0.0
114,盔林,2017-03-26,2.9
114,盔林,2017-03-27,0.5
114,盔林,2017-03-28,3.6
114,盔林,2017-03-29,9.2
114,盔林,2017-03-30,9.8
114,盔林,2017-03-31,0.0
114,盔林,2017-04-01,1.9
114,盔林,2017-04-02,7.3
114,盔林,2017-04-03,11.5
114,盔林,2017-04-04,11.6
114,盔林,2017-04-05,0.0
114,盔林,2017-04-06,5.4
114,盔林,2017-04-07,9.1
114,盔林,2017-04-08,8.9
114,盔林,2017-04-09,0.7
114,盔林,2017-04-10,11.0
114,盔林,2017-04-11,8.1
114,盔林,2017-04-12,11.8
114,盔林,2017-04-13,10.1
114,盔林,2017-04-14,5.7
114,盔林,2017-04-15,6.0
114,盔林,2017-04-16,2.3
114,盔林,2017-04-17,0.0
114,盔林,2017-04-18,2.6
114,盔林,2017-04-19,12.2
114,盔林,2017-04-20,0.3
114,盔林,2017-04-21,9.8
114,盔林,2017-04-22,10.0
114,盔林,2017-04-23,7.1
114,盔林,2017-04-24,11.4
114,盔林,2017-04-25,5.0
114,盔林,2017-04-26,12.0
114,盔林,2017-04-27,10.3
114,盔林,2017-04-28,12.0
114,盔林,2017-04-29,8.2
114,盔林,2017-04-30,2.4
114,盔林,2017-05-01,6.7
114,盔林,2017-05-02,4.7
114,盔林,2017-05-03,3.4
114,盔林,2017-05-04,6.0
114,盔林,2017-05-05,7.3
114,盔林,2017-05-06,12.1
114,盔林,2017-05-07,12.5
114,盔林,2017-05-08,6.7
114,盔林,2017-05-09,0.9
114,盔林,2017-05-10,2.4
114,盔林,2017-05-11,2.1
114,盔林,2017-05-12,0.1
114,盔林,2017-05-13,4.4
114,盔林,2017-05-14,12.6
114,盔林,2017-05-15,3.3
114,盔林,2017-05-16,6.2
114,盔林,2017-05-17,10.3
114,盔林,2017-05-18,11.5
114,盔林,2017-05-19,12.2
114,盔林,2017-05-20,6.4
114,盔林,2017-05-21,10.9
114,盔林,2017-05-22,9.8
114,盔林,2017-05-23,3.5
114,盔林,2017-05-24,9.0
114,盔林,2017-05-25,12.7
114,盔林,2017-05-26,6.9
114,盔林,2017-05-27,12.8
114,盔林,2017-05-28,7.6
114,盔林,2017-05-29,4.8
114,盔林,2017-05-30,5.9
114,盔林,2017-05-31,2.0
114,盔林,2017-06-01,3.8
114,盔林,2017-06-02,13.2
114,盔林,2017-06-03,11.8
114,盔林,2017-06-04,12.1
114,盔林,2017-06-05,13.3
114,盔林,2017-06-06,0.0
114,盔林,2017-06-07,0.0
114,盔林,2017-06-08,8.5
114,盔林,2017-06-09,6.8
114,盔林,2017-06-10,9.4
114,盔林,2017-06-11,12.4
114,盔林,2017-06-12,9.9
114,盔林,2017-06-13,6.8
114,盔林,2017-06-14,6.6
114,盔林,2017-06-15,12.9
114,盔林,2017-06-16,11.6
114,盔林,2017-06-17,11.9
114,盔林,2017-06-18,12.8
114,盔林,2017-06-19,11.8
114,盔林,2017-06-20,6.7
114,盔林,2017-06-21,7.8
114,盔林,2017-06-22,9.6
114,盔林,2017-06-23,9.9
114,盔林,2017-06-24,0.0
114,盔林,2017-06-25,1.7
114,盔林,2017-06-26,2.6
114,盔林,2017-06-27,6.1
114,盔林,2017-06-28,6.9
114,盔林,2017-06-29,6.3
114,盔林,2017-06-30,5.8
114,盔林,2017-07-01,0.0
114,盔林,2017-07-02,0.3
114,盔林,2017-07-03,0.0
114,盔林,2017-07-04,6.7
114,盔林,2017-07-05,10.0
114,盔林,2017-07-06,8.4
114,盔林,2017-07-07,3.3
114,盔林,2017-07-08,0.2
114,盔林,2017-07-09,2.0
114,盔林,2017-07-10,0.0
114,盔林,2017-07-11,3.8
114,盔林,2017-07-12,5.9
114,盔林,2017-07-13,6.1
114,盔林,2017-07-14,4.7
114,盔林,2017-07-15,0.0
114,盔林,2017-07-16,0.0
114,盔林,2017-07-17,0.0
114,盔林,2017-07-18,1.0
114,盔林,2017-07-19,3.5
114,盔林,2017-07-20,6.3
114,盔林,2017-07-21,0.4
114,盔林,2017-07-22,0.0
114,盔林,2017-07-23,0.0
114,盔林,2017-07-24,0.2
114,盔林,2017-07-25,6.2
114,盔林,2017-07-26,11.8
114,盔林,2017-07-27,3.7
114,盔林,2017-07-28,0.0
114,盔林,2017-07-29,0.3
114,盔林,2017-07-30,4.6
114,盔林,2017-07-31,0.0
114,盔林,2017-08-01,7.4
114,盔林,2017-08-02,4.9
114,盔林,2017-08-03,12.0
114,盔林,2017-08-04,11.2
114,盔林,2017-08-05,9.9
114,盔林,2017-08-06,5.7
114,盔林,2017-08-07,6.4
114,盔林,2017-08-08,3.7
114,盔林,2017-08-09,0.0
114,盔林,2017-08-10,0.0
114,盔林,2017-08-11,6.7
114,盔林,2017-08-12,7.2
114,盔林,2017-08-13,0.1
114,盔林,2017-08-14,0.0
114,盔林,2017-08-15,0.0
114,盔林,2017-08-16,0.6
114,盔林,2017-08-17,2.8
114,盔林,2017-08-18,1.7
114,盔林,2017-08-19,0.6
114,盔林,2017-08-20,0.9
114,盔林,2017-08-21,0.8
114,盔林,2017-08-22,7.2
114,盔林,2017-08-23,0.8
114,盔林,2017-08-24,1.0
114,盔林,2017-08-25,7.9
114,盔林,2017-08-26,10.7
114,盔林,2017-08-27,1.5
114,盔林,2017-08-28,1.7
114,盔林,2017-08-29,6.0
114,盔林,2017-08-30,0.9
114,盔林,2017-08-31,10.3
114,盔林,2017-09-01,12.1
114,盔林,2017-09-02,11.6
114,盔林,2017-09-03,10.7
114,盔林,2017-09-04,8.0
114,盔林,2017-09-05,0.0
114,盔林,2017-09-06,0.0
114,盔林,2017-09-07,1.8
114,盔林,2017-09-08,7.8
114,盔林,2017-09-09,6.7
114,盔林,2017-09-10,0.0
114,盔林,2017-09-11,0.2
114,盔林,2017-09-12,6.0
114,盔林,2017-09-13,10.5
114,盔林,2017-09-14,10.8
114,盔林,2017-09-15,10.1
114,盔林,2017-09-16,3.1
114,盔林,2017-09-17,7.5
114,盔林,2017-09-18,9.3
114,盔林,2017-09-19,3.1
114,盔林,2017-09-20,11.3
114,盔林,2017-09-21,11.3
114,盔林,2017-09-22,9.9
114,盔林,2017-09-23,4.3
114,盔林,2017-09-24,4.4
114,盔林,2017-09-25,8.6
114,盔林,2017-09-26,8.6
114,盔林,2017-09-27,0.4
114,盔林,2017-09-28,9.8
114,盔林,2017-09-29,9.0
114,盔林,2017-09-30,7.2
114,盔林,2017-10-01,0.1
114,盔林,2017-10-02,3.6
114,盔林,2017-10-03,3.4
114,盔林,2017-10-04,7.0
114,盔林,2017-10-05,5.5
114,盔林,2017-10-06,0.0
114,盔林,2017-10-07,5.6
114,盔林,2017-10-08,6.6
114,盔林,2017-10-09,4.7
114,盔林,2017-10-10,3.2
114,盔林,2017-10-11,0.8
114,盔林,2017-10-12,0.0
114,盔林,2017-10-13,6.1
114,盔林,2017-10-14,7.8
114,盔林,2017-10-15,7.0
114,盔林,2017-10-16,4.0
114,盔林,2017-10-17,9.4
114,盔林,2017-10-18,0.0
114,盔林,2017-10-19,3.8
114,盔林,2017-10-20,10.0
114,盔林,2017-10-21,9.9
114,盔林,2017-10-22,5.2
114,盔林,2017-10-23,9.8
114,盔林,2017-10-24,7.9
114,盔林,2017-10-25,9.7
114,盔林,2017-10-26,4.4
114,盔林,2017-10-27,7.4
114,盔林,2017-10-28,9.8
114,盔林,2017-10-29,7.5
114,盔林,2017-10-30,9.8
114,盔林,2017-10-31,9.5
114,盔林,2017-11-01,1.7
114,盔林,2017-11-02,0.6
114,盔林,2017-11-03,1.1
114,盔林,2017-11-04,6.4
114,盔林,2017-11-05,9.5
114,盔林,2017-11-06,8.6
114,盔林,2017-11-07,4.3
114,盔林,2017-11-08,7.4
114,盔林,2017-11-09,9.4
114,盔林,2017-11-10,2.0
114,盔林,2017-11-11,9.4
114,盔林,2017-11-12,8.5
114,盔林,2017-11-13,1.9
114,盔林,2017-11-14,8.7
114,盔林,2017-11-15,7.6
114,盔林,2017-11-16,9.1
114,盔林,2017-11-17,0.3
114,盔林,2017-11-18,6.0
114,盔林,2017-11-19,8.8
114,盔林,2017-11-20,4.9
114,盔林,2017-11-21,5.8
114,盔林,2017-11-22,0.5
114,盔林,2017-11-23,5.4
114,盔林,2017-11-24,4.3
114,盔林,2017-11-25,5.6
114,盔林,2017-11-26,5.5
114,盔林,2017-11-27,8.7
114,盔林,2017-11-28,5.1
114,盔林,2017-11-29,7.5
114,盔林,2017-11-30,8.6
114,盔林,2017-12-01,8.2
114,盔林,2017-12-02,8.5
114,盔林,2017-12-03,0.0
114,盔林,2017-12-04,6.4
114,盔林,2017-12-05,8.7
114,盔林,2017-12-06,7.5
114,盔林,2017-12-07,4.5
114,盔林,2017-12-08,8.5
114,盔林,2017-12-09,8.0
114,盔林,2017-12-10,0.7
114,盔林,2017-12-11,8.7
114,盔林,2017-12-12,8.7
114,盔林,2017-12-13,8.7
114,盔林,2017-12-14,4.4
114,盔林,2017-12-15,2.5
114,盔林,2017-12-16,8.1
114,盔林,2017-12-17,8.7
114,盔林,2017-12-18,1.4
114,盔林,2017-12-19,8.3
114,盔林,2017-12-20,5.3
114,盔林,2017-12-21,8.5
114,盔林,2017-12-22,1.0
114,盔林,2017-12-23,2.8
114,盔林,2017-12-24,0.0
114,盔林,2017-12-25,8.4
114,盔林,2017-12-26,8.4
114,盔林,2017-12-27,8.7
114,盔林,2017-12-28,7.4
114,盔林,2017-12-29,0.5
114,盔林,2017-12-30,2.7
114,盔林,2017-12-31,7.1
114,盔林,2018-01-01,8.5
114,盔林,2018-01-02,7.5
114,盔林,2018-01-03,8.6
114,盔林,2018-01-04,5.8
114,盔林,2018-01-05,6.9
114,盔林,2018-01-06,8.7
114,盔林,2018-01-07,3.9
114,盔林,2018-01-08,0.1
114,盔林,2018-01-09,5.5
114,盔林,2018-01-10,8.7
114,盔林,2018-01-11,8.3
114,盔林,2018-01-12,8.8
114,盔林,2018-01-13,2.4
114,盔林,2018-01-14,8.4
114,盔林,2018-01-15,4.9
114,盔林,2018-01-16,0.0
114,盔林,2018-01-17,0.4
114,盔林,2018-01-18,0.7
114,盔林,2018-01-19,8.7
114,盔林,2018-01-20,2.2
114,盔林,2018-01-21,7.1
114,盔林,2018-01-22,1.4
114,盔林,2018-01-23,9.0
114,盔林,2018-01-24,9.0
114,盔林,2018-01-25,8.4
114,盔林,2018-01-26,9.1
114,盔林,2018-01-27,9.1
114,盔林,2018-01-28,7.6
114,盔林,2018-01-29,9.2
114,盔林,2018-01-30,7.0
114,盔林,2018-01-31,3.1
114,盔林,2018-02-01,9.4
114,盔林,2018-02-02,9.3
114,盔林,2018-02-03,6.3
114,盔林,2018-02-04,9.5
114,盔林,2018-02-05,9.5
114,盔林,2018-02-06,9.5
114,盔林,2018-02-07,9.5
114,盔林,2018-02-08,9.5
114,盔林,2018-02-09,0.9
114,盔林,2018-02-10,5.1
114,盔林,2018-02-11,5.2
114,盔林,2018-02-12,7.7
114,盔林,2018-02-13,9.5
114,盔林,2018-02-14,0.4
114,盔林,2018-02-15,9.6
114,盔林,2018-02-16,9.2
114,盔林,2018-02-17,9.3
114,盔林,2018-02-18,5.5
114,盔林,2018-02-19,4.8
114,盔林,2018-02-20,8.1
114,盔林,2018-02-21,9.9
114,盔林,2018-02-22,6.9
114,盔林,2018-02-23,2.6
114,盔林,2018-02-24,5.8
114,盔林,2018-02-25,6.1
114,盔林,2018-02-26,10.3
114,盔林,2018-02-27,0.4
114,盔林,2018-02-28,0.0
114,盔林,2018-03-01,7.0
114,盔林,2018-03-02,10.4
114,盔林,2018-03-03,10.3
114,盔林,2018-03-04,2.2
114,盔林,2018-03-05,5.1
114,盔林,2018-03-06,10.5
114,盔林,2018-03-07,3.3
114,盔林,2018-03-08,0.4
114,盔林,2018-03-09,5.7
114,盔林,2018-03-10,7.5
114,盔林,2018-03-11,7.7
114,盔林,2018-03-12,8.9
114,盔林,2018-03-13,8.5
114,盔林,2018-03-14,5.9
114,盔林,2018-03-15,0.0
114,盔林,2018-03-16,4.7
114,盔林,2018-03-17,9.7
114,盔林,2018-03-18,0.0
114,盔林,2018-03-19,0.0
114,盔林,2018-03-20,6.1
114,盔林,2018-03-21,0.0
114,盔林,2018-03-22,10.3
114,盔林,2018-03-23,10.2
114,盔林,2018-03-24,4.9
114,盔林,2018-03-25,7.9
114,盔林,2018-03-26,9.9
114,盔林,2018-03-27,6.2
114,盔林,2018-03-28,8.0
114,盔林,2018-03-29,6.6
114,盔林,2018-03-30,10.0
114,盔林,2018-03-31,9.0
114,盔林,2018-04-01,1.5
114,盔林,2018-04-02,6.9
114,盔林,2018-04-03,5.7
114,盔林,2018-04-04,0.0
114,盔林,2018-04-05,0.0
114,盔林,2018-04-06,4.3
114,盔林,2018-04-07,5.5
114,盔林,2018-04-08,4.2
114,盔林,2018-04-09,7.0
114,盔林,2018-04-10,7.9
114,盔林,2018-04-11,9.8
114,盔林,2018-04-12,11.7
114,盔林,2018-04-13,2.9
114,盔林,2018-04-14,0.0
114,盔林,2018-04-15,3.1
114,盔林,2018-04-16,11.4
114,盔林,2018-04-17,9.3
114,盔林,2018-04-18,11.9
114,盔林,2018-04-19,10.9
114,盔林,2018-04-20,11.0
114,盔林,2018-04-21,12.1
114,盔林,2018-04-22,2.2
114,盔林,2018-04-23,0.0
114,盔林,2018-04-24,0.0
114,盔林,2018-04-25,12.5
114,盔林,2018-04-26,8.0
114,盔林,2018-04-27,10.7
114,盔林,2018-04-28,11.9
114,盔林,2018-04-29,11.1
114,盔林,2018-04-30,9.4
114,盔林,2018-05-01,6.0
114,盔林,2018-05-02,0.2
114,盔林,2018-05-03,3.7
114,盔林,2018-05-04,12.5
114,盔林,2018-05-05,10.1
114,盔林,2018-05-06,0.2
114,盔林,2018-05-07,4.1
114,盔林,2018-05-08,3.0
114,盔林,2018-05-09,12.3
114,盔林,2018-05-10,11.7
114,盔林,2018-05-11,5.8
114,盔林,2018-05-12,0.0
114,盔林,2018-05-13,4.3
114,盔林,2018-05-14,7.1
114,盔林,2018-05-15,7.8
114,盔林,2018-05-16,0.0
114,盔林,2018-05-17,0.1
114,盔林,2018-05-18,0.0
114,盔林,2018-05-19,13.2
114,盔林,2018-05-20,5.7
114,盔林,2018-05-21,10.8
114,盔林,2018-05-22,4.5
114,盔林,2018-05-23,11.6
114,盔林,2018-05-24,12.2
114,盔林,2018-05-25,8.0
114,盔林,2018-05-26,12.5
114,盔林,2018-05-27,1.6
114,盔林,2018-05-28,11.5
114,盔林,2018-05-29,4.2
114,盔林,2018-05-30,7.0
114,盔林,2018-05-31,9.3
114,盔林,2018-06-01,13.4
114,盔林,2018-06-02,13.4
114,盔林,2018-06-03,13.1
114,盔林,2018-06-04,8.0
114,盔林,2018-06-05,9.9
114,盔林,2018-06-06,12.7
114,盔林,2018-06-07,11.4
114,盔林,2018-06-08,6.6
114,盔林,2018-06-09,8.9
114,盔林,2018-06-10,0.7
114,盔林,2018-06-11,3.8
114,盔林,2018-06-12,9.6
114,盔林,2018-06-13,8.4
114,盔林,2018-06-14,3.6
114,盔林,2018-06-15,7.6
114,盔林,2018-06-16,13.8
114,盔林,2018-06-17,5.0
114,盔林,2018-06-18,10.5
114,盔林,2018-06-19,1.7
114,盔林,2018-06-20,9.0
114,盔林,2018-06-21,10.6
114,盔林,2018-06-22,13.1
114,盔林,2018-06-23,7.5
114,盔林,2018-06-24,10.2
114,盔林,2018-06-25,6.7
114,盔林,2018-06-26,0.0
114,盔林,2018-06-27,0.3
114,盔林,2018-06-28,0.3
114,盔林,2018-06-29,9.7
114,盔林,2018-06-30,1.6
114,盔林,2018-07-01,0.0
114,盔林,2018-07-02,0.7
114,盔林,2018-07-03,5.5
114,盔林,2018-07-04,7.4
114,盔林,2018-07-05,2.7
114,盔林,2018-07-06,2.9
114,盔林,2018-07-07,13.2
114,盔林,2018-07-08,9.7
114,盔林,2018-07-09,0.0
114,盔林,2018-07-10,0.1
114,盔林,2018-07-11,0.2
114,盔林,2018-07-12,5.3
114,盔林,2018-07-13,5.3
114,盔林,2018-07-14,9.2
114,盔林,2018-07-15,13.4
114,盔林,2018-07-16,11.6
114,盔林,2018-07-17,11.0
114,盔林,2018-07-18,12.3
114,盔林,2018-07-19,12.5
114,盔林,2018-07-20,12.4
114,盔林,2018-07-21,12.9
114,盔林,2018-07-22,12.2
114,盔林,2018-07-23,9.2
114,盔林,2018-07-24,12.1
114,盔林,2018-07-25,6.5
114,盔林,2018-07-26,12.2
114,盔林,2018-07-27,11.7
114,盔林,2018-07-28,3.7
114,盔林,2018-07-29,11.0
114,盔林,2018-07-30,8.5
114,盔林,2018-07-31,12.5
114,盔林,2018-08-01,12.2
114,盔林,2018-08-02,12.4
114,盔林,2018-08-03,11.7
114,盔林,2018-08-04,9.2
114,盔林,2018-08-05,5.7
114,盔林,2018-08-06,3.1
114,盔林,2018-08-07,6.3
114,盔林,2018-08-08,8.2
114,盔林,2018-08-09,4.6
114,盔林,2018-08-10,8.3
114,盔林,2018-08-11,7.4
114,盔林,2018-08-12,9.3
114,盔林,2018-08-13,10.3
114,盔林,2018-08-14,8.9
114,盔林,2018-08-15,9.7
114,盔林,2018-08-16,7.4
114,盔林,2018-08-17,12.3
114,盔林,2018-08-18,11.5
114,盔林,2018-08-19,9.7
114,盔林,2018-08-20,7.5
114,盔林,2018-08-21,1.2
114,盔林,2018-08-22,11.2
114,盔林,2018-08-23,0.2
114,盔林,2018-08-24,0.0
114,盔林,2018-08-25,1.4
114,盔林,2018-08-26,0.0
114,盔林,2018-08-27,0.0
114,盔林,2018-08-28,0.0
114,盔林,2018-08-29,2.8
114,盔林,2018-08-30,1.4
114,盔林,2018-08-31,6.4
114,盔林,2018-09-01,9.2
114,盔林,2018-09-02,8.9
114,盔林,2018-09-03,0.4
114,盔林,2018-09-04,8.0
114,盔林,2018-09-05,10.5
114,盔林,2018-09-06,2.0
114,盔林,2018-09-07,6.4
114,盔林,2018-09-08,10.7
114,盔林,2018-09-09,11.4
114,盔林,2018-09-10,8.7
114,盔林,2018-09-11,7.5
114,盔林,2018-09-12,10.2
114,盔林,2018-09-13,4.1
114,盔林,2018-09-14,0.6
114,盔林,2018-09-15,0.0
114,盔林,2018-09-16,0.9
114,盔林,2018-09-17,10.6
114,盔林,2018-09-18,9.4
114,盔林,2018-09-19,2.1
114,盔林,2018-09-20,0.0
114,盔林,2018-09-21,0.0
114,盔林,2018-09-22,9.0
114,盔林,2018-09-23,4.9
114,盔林,2018-09-24,9.5
114,盔林,2018-09-25,8.8
114,盔林,2018-09-26,3.5
114,盔林,2018-09-27,8.0
114,盔林,2018-09-28,2.4
114,盔林,2018-09-29,10.8
114,盔林,2018-09-30,10.7
114,盔林,2018-10-01,6.6
