瘤痢,瘤痢疙,老矫,钦拌 老炼矫埃(hr)
114,盔林,2018-10-02,8.7
114,盔林,2018-10-03,10.8
114,盔林,2018-10-04,8.6
114,盔林,2018-10-05,0.0
114,盔林,2018-10-06,0.3
114,盔林,2018-10-07,7.2
114,盔林,2018-10-08,9.4
114,盔林,2018-10-09,2.3
114,盔林,2018-10-10,7.0
114,盔林,2018-10-11,9.4
114,盔林,2018-10-12,10.5
114,盔林,2018-10-13,10.5
114,盔林,2018-10-14,9.8
114,盔林,2018-10-15,9.4
114,盔林,2018-10-16,5.1
114,盔林,2018-10-17,9.6
114,盔林,2018-10-18,0.1
114,盔林,2018-10-19,8.2
114,盔林,2018-10-20,10.0
114,盔林,2018-10-21,9.9
114,盔林,2018-10-22,6.7
114,盔林,2018-10-23,1.4
114,盔林,2018-10-24,6.1
114,盔林,2018-10-25,7.2
114,盔林,2018-10-26,0.0
114,盔林,2018-10-27,6.2
114,盔林,2018-10-28,1.4
114,盔林,2018-10-29,4.3
114,盔林,2018-10-30,9.8
114,盔林,2018-10-31,9.7
114,盔林,2018-11-01,9.6
114,盔林,2018-11-02,9.6
114,盔林,2018-11-03,9.5
114,盔林,2018-11-04,9.5
114,盔林,2018-11-05,8.4
114,盔林,2018-11-06,7.0
114,盔林,2018-11-07,0.0
114,盔林,2018-11-08,0.0
114,盔林,2018-11-09,3.7
114,盔林,2018-11-10,6.8
114,盔林,2018-11-11,2.6
114,盔林,2018-11-12,7.5
114,盔林,2018-11-13,6.1
114,盔林,2018-11-14,9.2
114,盔林,2018-11-15,8.0
114,盔林,2018-11-16,3.1
114,盔林,2018-11-17,6.1
114,盔林,2018-11-18,5.1
114,盔林,2018-11-19,6.3
114,盔林,2018-11-20,8.9
114,盔林,2018-11-21,0.0
114,盔林,2018-11-22,8.9
114,盔林,2018-11-23,8.2
114,盔林,2018-11-24,1.1
114,盔林,2018-11-25,4.8
114,盔林,2018-11-26,6.2
114,盔林,2018-11-27,0.9
114,盔林,2018-11-28,5.4
114,盔林,2018-11-29,2.5
114,盔林,2018-11-30,8.7
114,盔林,2018-12-01,6.8
114,盔林,2018-12-02,2.6
114,盔林,2018-12-03,0.0
114,盔林,2018-12-04,0.4
114,盔林,2018-12-05,4.4
114,盔林,2018-12-06,1.6
114,盔林,2018-12-07,8.7
114,盔林,2018-12-08,8.8
114,盔林,2018-12-09,8.6
114,盔林,2018-12-10,8.6
114,盔林,2018-12-11,0.0
114,盔林,2018-12-12,7.6
114,盔林,2018-12-13,1.7
114,盔林,2018-12-14,8.7
114,盔林,2018-12-15,8.4
114,盔林,2018-12-16,0.8
114,盔林,2018-12-17,7.6
114,盔林,2018-12-18,5.4
114,盔林,2018-12-19,6.9
114,盔林,2018-12-20,6.2
114,盔林,2018-12-21,4.8
114,盔林,2018-12-22,7.9
114,盔林,2018-12-23,8.0
114,盔林,2018-12-24,8.6
114,盔林,2018-12-25,2.0
114,盔林,2018-12-26,8.1
114,盔林,2018-12-27,8.7
114,盔林,2018-12-28,8.4
114,盔林,2018-12-29,8.7
114,盔林,2018-12-30,8.7
114,盔林,2018-12-31,8.2
114,盔林,2019-01-01,7.1
114,盔林,2019-01-02,8.6
114,盔林,2019-01-03,8.7
114,盔林,2019-01-04,7.0
114,盔林,2019-01-05,8.5
114,盔林,2019-01-06,7.9
114,盔林,2019-01-07,7.5
114,盔林,2019-01-08,8.7
114,盔林,2019-01-09,8.4
114,盔林,2019-01-10,6.0
114,盔林,2019-01-11,7.4
114,盔林,2019-01-12,4.8
114,盔林,2019-01-13,8.6
114,盔林,2019-01-14,4.7
114,盔林,2019-01-15,2.4
114,盔林,2019-01-16,8.1
114,盔林,2019-01-17,8.4
114,盔林,2019-01-18,8.8
114,盔林,2019-01-19,7.9
114,盔林,2019-01-20,8.7
114,盔林,2019-01-21,1.7
114,盔林,2019-01-22,8.4
114,盔林,2019-01-23,8.2
114,盔林,2019-01-24,9.0
114,盔林,2019-01-25,9.0
114,盔林,2019-01-26,9.1
114,盔林,2019-01-27,8.0
114,盔林,2019-01-28,7.3
114,盔林,2019-01-29,9.1
114,盔林,2019-01-30,8.7
114,盔林,2019-01-31,2.6
114,盔林,2019-02-01,8.4
114,盔林,2019-02-02,2.0
114,盔林,2019-02-03,0.0
114,盔林,2019-02-04,9.1
114,盔林,2019-02-05,7.7
114,盔林,2019-02-06,3.4
114,盔林,2019-02-07,7.7
114,盔林,2019-02-08,7.9
114,盔林,2019-02-09,8.9
114,盔林,2019-02-10,3.9
114,盔林,2019-02-11,9.6
114,盔林,2019-02-12,8.2
114,盔林,2019-02-13,9.4
114,盔林,2019-02-14,9.1
114,盔林,2019-02-15,0.5
114,盔林,2019-02-16,7.7
114,盔林,2019-02-17,10.0
114,盔林,2019-02-18,6.3
114,盔林,2019-02-19,0.0
114,盔林,2019-02-20,1.4
114,盔林,2019-02-21,7.5
114,盔林,2019-02-22,8.8
114,盔林,2019-02-23,9.8
114,盔林,2019-02-24,10.2
114,盔林,2019-02-25,9.4
114,盔林,2019-02-26,9.7
114,盔林,2019-02-27,4.3
114,盔林,2019-02-28,8.0
114,盔林,2019-03-01,9.9
114,盔林,2019-03-02,7.6
114,盔林,2019-03-03,6.4
114,盔林,2019-03-04,9.8
114,盔林,2019-03-05,3.5
114,盔林,2019-03-06,3.6
114,盔林,2019-03-07,7.9
114,盔林,2019-03-08,10.6
114,盔林,2019-03-09,9.1
114,盔林,2019-03-10,0.5
114,盔林,2019-03-11,3.0
114,盔林,2019-03-12,0.7
114,盔林,2019-03-13,9.4
114,盔林,2019-03-14,7.6
114,盔林,2019-03-15,7.0
114,盔林,2019-03-16,1.8
114,盔林,2019-03-17,8.7
114,盔林,2019-03-18,8.7
114,盔林,2019-03-19,10.4
114,盔林,2019-03-20,0.4
114,盔林,2019-03-21,0.9
114,盔林,2019-03-22,8.9
114,盔林,2019-03-23,6.3
114,盔林,2019-03-24,11.3
114,盔林,2019-03-25,1.9
114,盔林,2019-03-26,9.1
114,盔林,2019-03-27,5.7
114,盔林,2019-03-28,6.9
114,盔林,2019-03-29,9.5
114,盔林,2019-03-30,1.5
114,盔林,2019-03-31,0.4
114,盔林,2019-04-01,10.7
114,盔林,2019-04-02,10.8
114,盔林,2019-04-03,11.9
114,盔林,2019-04-04,11.7
114,盔林,2019-04-05,7.1
114,盔林,2019-04-06,1.7
114,盔林,2019-04-07,7.4
114,盔林,2019-04-08,9.9
114,盔林,2019-04-09,1.3
114,盔林,2019-04-10,0.0
114,盔林,2019-04-11,4.4
114,盔林,2019-04-12,10.3
114,盔林,2019-04-13,11.0
114,盔林,2019-04-14,0.9
114,盔林,2019-04-15,12.1
114,盔林,2019-04-16,10.3
114,盔林,2019-04-17,12.0
114,盔林,2019-04-18,3.2
114,盔林,2019-04-19,3.9
114,盔林,2019-04-20,9.9
114,盔林,2019-04-21,3.6
114,盔林,2019-04-22,11.1
114,盔林,2019-04-23,4.0
114,盔林,2019-04-24,4.6
114,盔林,2019-04-25,0.0
114,盔林,2019-04-26,0.5
114,盔林,2019-04-27,8.8
114,盔林,2019-04-28,0.2
114,盔林,2019-04-29,1.5
114,盔林,2019-04-30,9.6
114,盔林,2019-05-01,10.9
114,盔林,2019-05-02,12.6
114,盔林,2019-05-03,12.6
114,盔林,2019-05-04,10.7
114,盔林,2019-05-05,10.1
114,盔林,2019-05-06,11.4
114,盔林,2019-05-07,12.7
114,盔林,2019-05-08,10.7
114,盔林,2019-05-09,12.1
114,盔林,2019-05-10,12.6
114,盔林,2019-05-11,11.0
114,盔林,2019-05-12,11.7
114,盔林,2019-05-13,2.1
114,盔林,2019-05-14,11.8
114,盔林,2019-05-15,9.9
114,盔林,2019-05-16,11.6
114,盔林,2019-05-17,6.1
114,盔林,2019-05-18,0.6
114,盔林,2019-05-19,0.4
114,盔林,2019-05-20,7.6
114,盔林,2019-05-21,13.2
114,盔林,2019-05-22,13.0
114,盔林,2019-05-23,13.3
114,盔林,2019-05-24,13.1
114,盔林,2019-05-25,7.4
114,盔林,2019-05-26,10.7
114,盔林,2019-05-27,0.0
114,盔林,2019-05-28,10.8
114,盔林,2019-05-29,13.4
114,盔林,2019-05-30,8.2
114,盔林,2019-05-31,11.0
114,盔林,2019-06-01,12.8
114,盔林,2019-06-02,13.2
114,盔林,2019-06-03,12.2
114,盔林,2019-06-04,12.3
114,盔林,2019-06-05,11.0
114,盔林,2019-06-06,0.3
114,盔林,2019-06-07,1.5
114,盔林,2019-06-08,10.6
114,盔林,2019-06-09,7.3
114,盔林,2019-06-10,3.3
114,盔林,2019-06-11,10.0
114,盔林,2019-06-12,11.5
114,盔林,2019-06-13,12.7
114,盔林,2019-06-14,4.3
114,盔林,2019-06-15,9.5
114,盔林,2019-06-16,8.5
114,盔林,2019-06-17,9.2
114,盔林,2019-06-18,2.6
114,盔林,2019-06-19,0.0
114,盔林,2019-06-20,7.0
114,盔林,2019-06-21,5.7
114,盔林,2019-06-22,10.6
114,盔林,2019-06-23,11.8
114,盔林,2019-06-24,11.9
114,盔林,2019-06-25,13.5
114,盔林,2019-06-26,2.3
114,盔林,2019-06-27,3.8
114,盔林,2019-06-28,2.0
114,盔林,2019-06-29,0.9
114,盔林,2019-06-30,3.4
114,盔林,2019-07-01,5.4
114,盔林,2019-07-02,8.7
114,盔林,2019-07-03,9.1
114,盔林,2019-07-04,12.5
114,盔林,2019-07-05,10.4
114,盔林,2019-07-06,11.6
114,盔林,2019-07-07,8.7
114,盔林,2019-07-08,1.3
114,盔林,2019-07-09,8.8
114,盔林,2019-07-10,2.9
114,盔林,2019-07-11,0.1
114,盔林,2019-07-12,3.6
114,盔林,2019-07-13,3.7
114,盔林,2019-07-14,6.5
114,盔林,2019-07-15,0.6
114,盔林,2019-07-16,6.1
114,盔林,2019-07-17,3.7
114,盔林,2019-07-18,8.2
114,盔林,2019-07-19,7.6
114,盔林,2019-07-20,0.1
114,盔林,2019-07-21,0.0
114,盔林,2019-07-22,3.6
114,盔林,2019-07-23,5.7
114,盔林,2019-07-24,1.0
114,盔林,2019-07-25,0.1
114,盔林,2019-07-26,0.0
114,盔林,2019-07-27,5.5
114,盔林,2019-07-28,0.0
114,盔林,2019-07-29,2.5
114,盔林,2019-07-30,3.0
114,盔林,2019-07-31,1.4
114,盔林,2019-08-01,4.8
114,盔林,2019-08-02,9.6
114,盔林,2019-08-03,9.5
114,盔林,2019-08-04,10.2
114,盔林,2019-08-05,9.2
114,盔林,2019-08-06,7.4
114,盔林,2019-08-07,4.5
114,盔林,2019-08-08,6.3
114,盔林,2019-08-09,10.2
114,盔林,2019-08-10,12.3
114,盔林,2019-08-11,10.8
114,盔林,2019-08-12,1.5
114,盔林,2019-08-13,11.0
114,盔林,2019-08-14,9.5
114,盔林,2019-08-15,0.0
114,盔林,2019-08-16,3.9
114,盔林,2019-08-17,5.0
114,盔林,2019-08-18,10.2
114,盔林,2019-08-19,9.8
114,盔林,2019-08-20,10.0
114,盔林,2019-08-21,8.3
114,盔林,2019-08-22,6.9
114,盔林,2019-08-23,6.3
114,盔林,2019-08-24,1.0
114,盔林,2019-08-25,11.3
114,盔林,2019-08-26,10.8
114,盔林,2019-08-27,4.8
114,盔林,2019-08-28,2.7
114,盔林,2019-08-29,2.8
114,盔林,2019-08-30,8.2
114,盔林,2019-08-31,9.9
114,盔林,2019-09-01,4.8
114,盔林,2019-09-02,6.2
114,盔林,2019-09-03,0.0
114,盔林,2019-09-04,0.4
114,盔林,2019-09-05,2.8
114,盔林,2019-09-06,2.5
114,盔林,2019-09-07,2.5
114,盔林,2019-09-08,0.6
114,盔林,2019-09-09,0.0
114,盔林,2019-09-10,3.9
114,盔林,2019-09-11,0.0
114,盔林,2019-09-12,0.0
114,盔林,2019-09-13,11.6
114,盔林,2019-09-14,0.3
114,盔林,2019-09-15,6.3
114,盔林,2019-09-16,9.7
114,盔林,2019-09-17,10.1
114,盔林,2019-09-18,11.6
114,盔林,2019-09-19,10.0
114,盔林,2019-09-20,1.1
114,盔林,2019-09-21,0.0
114,盔林,2019-09-22,0.0
114,盔林,2019-09-23,2.0
114,盔林,2019-09-24,9.0
114,盔林,2019-09-25,5.6
114,盔林,2019-09-26,4.1
114,盔林,2019-09-27,4.6
114,盔林,2019-09-28,8.3
114,盔林,2019-09-29,7.9
114,盔林,2019-09-30,9.0
114,盔林,2019-10-01,1.8
114,盔林,2019-10-02,0.0
114,盔林,2019-10-03,1.9
114,盔林,2019-10-04,7.4
114,盔林,2019-10-05,0.7
114,盔林,2019-10-06,8.0
114,盔林,2019-10-07,0.0
114,盔林,2019-10-08,8.1
114,盔林,2019-10-09,9.9
114,盔林,2019-10-10,0.1
114,盔林,2019-10-11,9.9
114,盔林,2019-10-12,8.5
114,盔林,2019-10-13,10.3
114,盔林,2019-10-14,7.4
114,盔林,2019-10-15,8.4
114,盔林,2019-10-16,8.8
114,盔林,2019-10-17,2.2
114,盔林,2019-10-18,2.6
114,盔林,2019-10-19,10.0
114,盔林,2019-10-20,10.1
114,盔林,2019-10-21,9.9
114,盔林,2019-10-22,9.7
114,盔林,2019-10-23,0.2
114,盔林,2019-10-24,3.4
114,盔林,2019-10-25,8.2
114,盔林,2019-10-26,7.4
114,盔林,2019-10-27,7.1
114,盔林,2019-10-28,8.1
114,盔林,2019-10-29,6.1
114,盔林,2019-10-30,8.3
114,盔林,2019-10-31,7.4
114,盔林,2019-11-01,7.0
114,盔林,2019-11-02,4.6
114,盔林,2019-11-03,5.8
114,盔林,2019-11-04,8.8
114,盔林,2019-11-05,8.4
114,盔林,2019-11-06,7.8
114,盔林,2019-11-07,8.8
114,盔林,2019-11-08,9.5
114,盔林,2019-11-09,9.4
114,盔林,2019-11-10,3.3
114,盔林,2019-11-11,3.4
114,盔林,2019-11-12,3.8
114,盔林,2019-11-13,0.0
114,盔林,2019-11-14,9.2
114,盔林,2019-11-15,0.1
114,盔林,2019-11-16,5.4
114,盔林,2019-11-17,0.0
114,盔林,2019-11-18,4.7
114,盔林,2019-11-19,8.9
114,盔林,2019-11-20,9.0
114,盔林,2019-11-21,6.0
114,盔林,2019-11-22,9.0
114,盔林,2019-11-23,6.8
114,盔林,2019-11-24,4.9
114,盔林,2019-11-25,2.0
114,盔林,2019-11-26,8.1
114,盔林,2019-11-27,6.9
114,盔林,2019-11-28,6.4
114,盔林,2019-11-29,6.7
114,盔林,2019-11-30,8.2
114,盔林,2019-12-01,0.0
114,盔林,2019-12-02,8.4
114,盔林,2019-12-03,2.9
114,盔林,2019-12-04,6.9
114,盔林,2019-12-05,8.7
114,盔林,2019-12-06,8.7
114,盔林,2019-12-07,0.4
114,盔林,2019-12-08,8.0
114,盔林,2019-12-09,3.0
114,盔林,2019-12-10,1.8
114,盔林,2019-12-11,1.8
114,盔林,2019-12-12,8.7
114,盔林,2019-12-13,8.3
114,盔林,2019-12-14,6.5
114,盔林,2019-12-15,8.1
114,盔林,2019-12-16,8.6
114,盔林,2019-12-17,0.0
114,盔林,2019-12-18,0.0
114,盔林,2019-12-19,7.3
114,盔林,2019-12-20,8.0
114,盔林,2019-12-21,3.0
114,盔林,2019-12-22,4.5
114,盔林,2019-12-23,0.4
114,盔林,2019-12-24,5.4
114,盔林,2019-12-25,2.8
114,盔林,2019-12-26,0.0
114,盔林,2019-12-27,8.7
114,盔林,2019-12-28,8.5
114,盔林,2019-12-29,0.0
114,盔林,2019-12-30,0.0
114,盔林,2019-12-31,8.5
114,盔林,2020-01-01,0.4
114,盔林,2020-01-02,0.0
114,盔林,2020-01-03,8.5
114,盔林,2020-01-04,8.0
114,盔林,2020-01-05,7.3
114,盔林,2020-01-06,0.0
114,盔林,2020-01-07,0.0
114,盔林,2020-01-08,0.0
114,盔林,2020-01-09,5.2
114,盔林,2020-01-10,8.1
114,盔林,2020-01-11,7.2
114,盔林,2020-01-12,8.6
114,盔林,2020-01-13,6.4
114,盔林,2020-01-14,8.8
114,盔林,2020-01-15,8.8
114,盔林,2020-01-16,7.4
114,盔林,2020-01-17,7.8
114,盔林,2020-01-18,8.5
114,盔林,2020-01-19,0.1
114,盔林,2020-01-20,7.9
114,盔林,2020-01-21,9.0
114,盔林,2020-01-22,0.0
114,盔林,2020-01-23,8.7
114,盔林,2020-01-24,8.3
114,盔林,2020-01-25,2.6
114,盔林,2020-01-26,6.5
114,盔林,2020-01-27,0.0
114,盔林,2020-01-28,3.6
114,盔林,2020-01-29,5.5
114,盔林,2020-01-30,5.0
114,盔林,2020-01-31,3.4
114,盔林,2020-02-01,3.6
114,盔林,2020-02-02,4.7
114,盔林,2020-02-03,9.0
114,盔林,2020-02-04,9.0
114,盔林,2020-02-05,9.5
114,盔林,2020-02-06,9.4
114,盔林,2020-02-07,6.2
114,盔林,2020-02-08,9.0
114,盔林,2020-02-09,9.6
114,盔林,2020-02-10,9.0
114,盔林,2020-02-11,9.5
114,盔林,2020-02-12,0.0
114,盔林,2020-02-13,4.0
114,盔林,2020-02-14,4.7
114,盔林,2020-02-15,5.7
114,盔林,2020-02-16,0.2
114,盔林,2020-02-17,1.5
114,盔林,2020-02-18,9.9
114,盔林,2020-02-19,9.4
114,盔林,2020-02-20,9.5
114,盔林,2020-02-21,2.6
114,盔林,2020-02-22,5.5
114,盔林,2020-02-23,10.2
114,盔林,2020-02-24,9.4
114,盔林,2020-02-25,0.0
114,盔林,2020-02-26,2.5
114,盔林,2020-02-27,8.1
114,盔林,2020-02-28,0.0
114,盔林,2020-02-29,5.9
114,盔林,2020-03-01,0.4
114,盔林,2020-03-02,8.5
114,盔林,2020-03-03,4.9
114,盔林,2020-03-04,6.8
114,盔林,2020-03-05,10.4
114,盔林,2020-03-06,10.6
114,盔林,2020-03-07,2.5
114,盔林,2020-03-08,10.7
114,盔林,2020-03-09,7.1
114,盔林,2020-03-10,0.0
114,盔林,2020-03-11,10.9
114,盔林,2020-03-12,10.6
114,盔林,2020-03-13,8.2
114,盔林,2020-03-14,10.0
114,盔林,2020-03-15,4.9
114,盔林,2020-03-16,11.0
114,盔林,2020-03-17,1.2
114,盔林,2020-03-18,8.1
114,盔林,2020-03-19,5.5
114,盔林,2020-03-20,11.0
114,盔林,2020-03-21,6.7
114,盔林,2020-03-22,10.3
114,盔林,2020-03-23,11.2
114,盔林,2020-03-24,11.2
114,盔林,2020-03-25,9.6
114,盔林,2020-03-26,6.3
114,盔林,2020-03-27,1.2
114,盔林,2020-03-28,9.0
114,盔林,2020-03-29,11.2
114,盔林,2020-03-30,11.5
114,盔林,2020-03-31,9.1
114,盔林,2020-04-01,6.6
114,盔林,2020-04-02,9.3
114,盔林,2020-04-03,11.7
114,盔林,2020-04-04,8.9
114,盔林,2020-04-05,11.9
114,盔林,2020-04-06,11.5
114,盔林,2020-04-07,8.3
114,盔林,2020-04-08,12.0
114,盔林,2020-04-09,11.8
114,盔林,2020-04-10,7.8
114,盔林,2020-04-11,7.2
114,盔林,2020-04-12,6.0
114,盔林,2020-04-13,10.4
114,盔林,2020-04-14,12.1
114,盔林,2020-04-15,10.9
114,盔林,2020-04-16,11.2
114,盔林,2020-04-17,1.0
114,盔林,2020-04-18,6.7
114,盔林,2020-04-19,0.0
114,盔林,2020-04-20,0.9
114,盔林,2020-04-21,10.3
114,盔林,2020-04-22,7.9
114,盔林,2020-04-23,10.7
114,盔林,2020-04-24,12.1
114,盔林,2020-04-25,9.2
114,盔林,2020-04-26,9.2
114,盔林,2020-04-27,8.6
114,盔林,2020-04-28,12.5
114,盔林,2020-04-29,12.2
114,盔林,2020-04-30,11.9
114,盔林,2020-05-01,11.0
114,盔林,2020-05-02,0.0
114,盔林,2020-05-03,2.3
114,盔林,2020-05-04,8.7
114,盔林,2020-05-05,2.1
114,盔林,2020-05-06,10.3
114,盔林,2020-05-07,10.5
114,盔林,2020-05-08,8.7
114,盔林,2020-05-09,0.0
114,盔林,2020-05-10,0.1
114,盔林,2020-05-11,7.8
114,盔林,2020-05-12,6.6
114,盔林,2020-05-13,13.0
114,盔林,2020-05-14,8.5
114,盔林,2020-05-15,0.0
114,盔林,2020-05-16,0.7
114,盔林,2020-05-17,10.7
114,盔林,2020-05-18,6.6
114,盔林,2020-05-19,2.7
114,盔林,2020-05-20,2.9
114,盔林,2020-05-21,11.9
114,盔林,2020-05-22,4.7
114,盔林,2020-05-23,9.5
114,盔林,2020-05-24,6.0
114,盔林,2020-05-25,0.6
114,盔林,2020-05-26,6.0
114,盔林,2020-05-27,13.2
114,盔林,2020-05-28,9.6
114,盔林,2020-05-29,11.3
114,盔林,2020-05-30,13.5
114,盔林,2020-05-31,9.8
114,盔林,2020-06-01,11.2
114,盔林,2020-06-02,1.4
114,盔林,2020-06-03,9.3
114,盔林,2020-06-04,10.0
114,盔林,2020-06-05,10.8
114,盔林,2020-06-06,10.4
114,盔林,2020-06-07,10.0
114,盔林,2020-06-08,11.1
114,盔林,2020-06-09,12.6
114,盔林,2020-06-10,9.4
114,盔林,2020-06-11,0.0
114,盔林,2020-06-12,0.0
114,盔林,2020-06-13,11.0
114,盔林,2020-06-14,5.5
114,盔林,2020-06-15,9.6
114,盔林,2020-06-16,8.8
114,盔林,2020-06-17,7.9
114,盔林,2020-06-18,0.0
114,盔林,2020-06-19,9.1
114,盔林,2020-06-20,11.0
114,盔林,2020-06-21,12.1
114,盔林,2020-06-22,12.8
114,盔林,2020-06-23,7.3
114,盔林,2020-06-24,0.0
114,盔林,2020-06-25,0.0
114,盔林,2020-06-26,3.8
114,盔林,2020-06-27,5.1
114,盔林,2020-06-28,10.6
114,盔林,2020-06-29,3.0
114,盔林,2020-06-30,0.3
