瘤痢,瘤痢疙,老矫,钦拌 老炼矫埃(hr)
114,盔林,2020-07-01,2.6
114,盔林,2020-07-02,11.2
114,盔林,2020-07-03,6.9
114,盔林,2020-07-04,8.2
114,盔林,2020-07-05,9.2
114,盔林,2020-07-06,9.2
114,盔林,2020-07-07,4.1
114,盔林,2020-07-08,8.4
114,盔林,2020-07-09,9.3
114,盔林,2020-07-10,4.2
114,盔林,2020-07-11,2.5
114,盔林,2020-07-12,0.1
114,盔林,2020-07-13,0.0
114,盔林,2020-07-14,0.0
114,盔林,2020-07-15,6.1
114,盔林,2020-07-16,7.7
114,盔林,2020-07-17,6.7
114,盔林,2020-07-18,8.0
114,盔林,2020-07-19,1.0
114,盔林,2020-07-20,0.2
114,盔林,2020-07-21,6.2
114,盔林,2020-07-22,0.0
114,盔林,2020-07-23,0.0
114,盔林,2020-07-24,0.5
114,盔林,2020-07-25,1.3
114,盔林,2020-07-26,4.0
114,盔林,2020-07-27,0.5
114,盔林,2020-07-28,0.0
114,盔林,2020-07-29,0.0
114,盔林,2020-07-30,0.0
114,盔林,2020-07-31,0.0
114,盔林,2020-08-01,1.5
114,盔林,2020-08-02,0.2
114,盔林,2020-08-03,0.0
114,盔林,2020-08-04,2.3
114,盔林,2020-08-05,0.0
114,盔林,2020-08-06,0.5
114,盔林,2020-08-07,0.0
114,盔林,2020-08-08,1.1
114,盔林,2020-08-09,0.2
114,盔林,2020-08-10,0.1
114,盔林,2020-08-11,0.3
114,盔林,2020-08-12,3.1
114,盔林,2020-08-13,3.3
114,盔林,2020-08-14,1.3
114,盔林,2020-08-15,0.1
114,盔林,2020-08-16,3.8
114,盔林,2020-08-17,7.5
114,盔林,2020-08-18,7.3
114,盔林,2020-08-19,9.1
114,盔林,2020-08-20,10.6
114,盔林,2020-08-21,6.0
114,盔林,2020-08-22,1.2
114,盔林,2020-08-23,8.6
114,盔林,2020-08-24,8.9
114,盔林,2020-08-25,10.9
114,盔林,2020-08-26,7.9
114,盔林,2020-08-27,1.7
114,盔林,2020-08-28,5.9
114,盔林,2020-08-29,3.0
114,盔林,2020-08-30,1.4
114,盔林,2020-08-31,2.8
114,盔林,2020-09-01,5.4
114,盔林,2020-09-02,0.0
114,盔林,2020-09-03,3.5
114,盔林,2020-09-04,9.9
114,盔林,2020-09-05,0.0
114,盔林,2020-09-06,1.7
114,盔林,2020-09-07,0.0
114,盔林,2020-09-08,8.6
114,盔林,2020-09-09,4.5
114,盔林,2020-09-10,7.2
114,盔林,2020-09-11,2.7
114,盔林,2020-09-12,0.0
114,盔林,2020-09-13,10.8
114,盔林,2020-09-14,7.3
114,盔林,2020-09-15,8.2
114,盔林,2020-09-16,0.8
114,盔林,2020-09-17,0.2
114,盔林,2020-09-18,9.1
114,盔林,2020-09-19,6.0
114,盔林,2020-09-20,11.0
114,盔林,2020-09-21,10.8
114,盔林,2020-09-22,5.9
114,盔林,2020-09-23,3.7
114,盔林,2020-09-24,7.8
114,盔林,2020-09-25,6.5
114,盔林,2020-09-26,6.8
114,盔林,2020-09-27,9.5
114,盔林,2020-09-28,10.7
114,盔林,2020-09-29,7.8
114,盔林,2020-09-30,7.6
114,盔林,2020-10-01,8.2
114,盔林,2020-10-02,5.6
114,盔林,2020-10-03,1.5
114,盔林,2020-10-04,2.5
114,盔林,2020-10-05,10.6
114,盔林,2020-10-06,10.6
114,盔林,2020-10-07,8.5
114,盔林,2020-10-08,10.4
114,盔林,2020-10-09,10.3
114,盔林,2020-10-10,8.3
114,盔林,2020-10-11,5.3
114,盔林,2020-10-12,5.6
114,盔林,2020-10-13,7.7
114,盔林,2020-10-14,5.5
114,盔林,2020-10-15,7.4
114,盔林,2020-10-16,1.4
114,盔林,2020-10-17,9.6
114,盔林,2020-10-18,10.0
114,盔林,2020-10-19,9.8
114,盔林,2020-10-20,9.8
114,盔林,2020-10-21,0.1
114,盔林,2020-10-22,2.4
114,盔林,2020-10-23,9.8
114,盔林,2020-10-24,9.8
114,盔林,2020-10-25,8.4
114,盔林,2020-10-26,9.3
114,盔林,2020-10-27,8.9
114,盔林,2020-10-28,6.7
114,盔林,2020-10-29,8.3
114,盔林,2020-10-30,9.5
114,盔林,2020-10-31,7.9
114,盔林,2020-11-01,0.0
114,盔林,2020-11-02,7.7
114,盔林,2020-11-03,9.4
114,盔林,2020-11-04,9.3
114,盔林,2020-11-05,8.1
114,盔林,2020-11-06,0.1
114,盔林,2020-11-07,6.1
114,盔林,2020-11-08,9.2
114,盔林,2020-11-09,7.7
114,盔林,2020-11-10,9.4
114,盔林,2020-11-11,9.4
114,盔林,2020-11-12,9.2
114,盔林,2020-11-13,8.3
114,盔林,2020-11-14,8.8
114,盔林,2020-11-15,7.4
114,盔林,2020-11-16,7.8
114,盔林,2020-11-17,1.4
114,盔林,2020-11-18,0.0
114,盔林,2020-11-19,0.0
114,盔林,2020-11-20,0.0
114,盔林,2020-11-21,7.6
114,盔林,2020-11-22,0.3
114,盔林,2020-11-23,8.9
114,盔林,2020-11-24,4.1
114,盔林,2020-11-25,5.4
114,盔林,2020-11-26,7.1
114,盔林,2020-11-27,2.9
114,盔林,2020-11-28,8.7
114,盔林,2020-11-29,3.4
114,盔林,2020-11-30,8.7
114,盔林,2020-12-01,8.5
114,盔林,2020-12-02,1.2
114,盔林,2020-12-03,8.7
114,盔林,2020-12-04,8.7
114,盔林,2020-12-05,7.8
114,盔林,2020-12-06,7.3
114,盔林,2020-12-07,3.9
114,盔林,2020-12-08,7.9
114,盔林,2020-12-09,6.6
114,盔林,2020-12-10,1.8
114,盔林,2020-12-11,4.2
114,盔林,2020-12-12,8.3
114,盔林,2020-12-13,0.0
114,盔林,2020-12-14,8.7
114,盔林,2020-12-15,8.7
114,盔林,2020-12-16,8.7
114,盔林,2020-12-17,8.7
114,盔林,2020-12-18,4.5
114,盔林,2020-12-19,8.6
114,盔林,2020-12-20,8.6
114,盔林,2020-12-21,8.3
114,盔林,2020-12-22,3.4
114,盔林,2020-12-23,1.5
114,盔林,2020-12-24,7.4
114,盔林,2020-12-25,8.7
114,盔林,2020-12-26,5.5
114,盔林,2020-12-27,5.1
114,盔林,2020-12-28,8.0
114,盔林,2020-12-29,2.7
114,盔林,2020-12-30,8.3
114,盔林,2020-12-31,6.4
114,盔林,2021-01-01,7.4
114,盔林,2021-01-02,8.6
114,盔林,2021-01-03,5.6
114,盔林,2021-01-04,7.2
114,盔林,2021-01-05,7.9
114,盔林,2021-01-06,8.7
114,盔林,2021-01-07,8.7
114,盔林,2021-01-08,8.7
114,盔林,2021-01-09,8.7
114,盔林,2021-01-10,7.7
114,盔林,2021-01-11,0.2
114,盔林,2021-01-12,5.1
114,盔林,2021-01-13,5.1
114,盔林,2021-01-14,8.1
114,盔林,2021-01-15,0.7
114,盔林,2021-01-16,5.5
114,盔林,2021-01-17,8.2
114,盔林,2021-01-18,0.8
114,盔林,2021-01-19,8.9
114,盔林,2021-01-20,8.8
114,盔林,2021-01-21,1.0
114,盔林,2021-01-22,0.0
114,盔林,2021-01-23,4.9
114,盔林,2021-01-24,8.3
114,盔林,2021-01-25,8.1
114,盔林,2021-01-26,0.0
114,盔林,2021-01-27,8.0
114,盔林,2021-01-28,2.3
114,盔林,2021-01-29,9.3
114,盔林,2021-01-30,3.2
114,盔林,2021-01-31,8.4
114,盔林,2021-02-01,1.8
114,盔林,2021-02-02,9.3
114,盔林,2021-02-03,9.1
114,盔林,2021-02-04,9.4
114,盔林,2021-02-05,3.1
114,盔林,2021-02-06,2.7
114,盔林,2021-02-07,5.9
114,盔林,2021-02-08,9.5
114,盔林,2021-02-09,9.6
114,盔林,2021-02-10,0.5
114,盔林,2021-02-11,8.3
114,盔林,2021-02-12,8.8
114,盔林,2021-02-13,9.6
114,盔林,2021-02-14,2.0
114,盔林,2021-02-15,3.3
114,盔林,2021-02-16,2.5
114,盔林,2021-02-17,9.8
114,盔林,2021-02-18,9.8
114,盔林,2021-02-19,9.7
114,盔林,2021-02-20,8.0
114,盔林,2021-02-21,9.7
114,盔林,2021-02-22,9.1
114,盔林,2021-02-23,9.9
114,盔林,2021-02-24,8.6
114,盔林,2021-02-25,0.0
114,盔林,2021-02-26,9.4
114,盔林,2021-02-27,10.1
114,盔林,2021-02-28,5.6
114,盔林,2021-03-01,0.0
114,盔林,2021-03-02,3.0
114,盔林,2021-03-03,10.3
114,盔林,2021-03-04,0.1
114,盔林,2021-03-05,10.4
114,盔林,2021-03-06,2.3
114,盔林,2021-03-07,8.9
114,盔林,2021-03-08,10.4
114,盔林,2021-03-09,9.1
114,盔林,2021-03-10,10.5
114,盔林,2021-03-11,9.4
114,盔林,2021-03-12,0.0
114,盔林,2021-03-13,8.7
114,盔林,2021-03-14,2.5
114,盔林,2021-03-15,6.0
114,盔林,2021-03-16,10.2
114,盔林,2021-03-17,10.3
114,盔林,2021-03-18,9.1
114,盔林,2021-03-19,9.5
114,盔林,2021-03-20,0.0
114,盔林,2021-03-21,3.9
114,盔林,2021-03-22,10.7
114,盔林,2021-03-23,10.9
114,盔林,2021-03-24,8.4
114,盔林,2021-03-25,10.4
114,盔林,2021-03-26,8.9
114,盔林,2021-03-27,0.4
114,盔林,2021-03-28,0.0
114,盔林,2021-03-29,8.0
114,盔林,2021-03-30,11.0
114,盔林,2021-03-31,11.2
114,盔林,2021-04-01,9.6
114,盔林,2021-04-02,6.9
114,盔林,2021-04-03,0.0
114,盔林,2021-04-04,1.6
114,盔林,2021-04-05,11.6
114,盔林,2021-04-06,10.5
114,盔林,2021-04-07,11.5
114,盔林,2021-04-08,11.7
114,盔林,2021-04-09,8.0
114,盔林,2021-04-10,11.6
114,盔林,2021-04-11,11.0
114,盔林,2021-04-12,0.0
114,盔林,2021-04-13,6.8
114,盔林,2021-04-14,12.1
114,盔林,2021-04-15,11.1
114,盔林,2021-04-16,1.2
114,盔林,2021-04-17,5.9
114,盔林,2021-04-18,8.0
114,盔林,2021-04-19,12.1
114,盔林,2021-04-20,11.5
114,盔林,2021-04-21,11.5
114,盔林,2021-04-22,4.9
114,盔林,2021-04-23,0.0
114,盔林,2021-04-24,6.1
114,盔林,2021-04-25,11.3
114,盔林,2021-04-26,12.5
114,盔林,2021-04-27,1.0
114,盔林,2021-04-28,6.8
114,盔林,2021-04-29,3.9
114,盔林,2021-04-30,0.2
114,盔林,2021-05-01,0.0
114,盔林,2021-05-02,10.3
114,盔林,2021-05-03,12.2
114,盔林,2021-05-04,0.7
114,盔林,2021-05-05,11.6
114,盔林,2021-05-06,11.7
114,盔林,2021-05-07,5.6
114,盔林,2021-05-08,9.5
114,盔林,2021-05-09,13.0
114,盔林,2021-05-10,0.0
114,盔林,2021-05-11,11.4
114,盔林,2021-05-12,12.3
114,盔林,2021-05-13,12.9
114,盔林,2021-05-14,10.3
114,盔林,2021-05-15,0.0
114,盔林,2021-05-16,0.0
114,盔林,2021-05-17,0.0
114,盔林,2021-05-18,7.1
114,盔林,2021-05-19,11.1
114,盔林,2021-05-20,0.0
114,盔林,2021-05-21,0.0
114,盔林,2021-05-22,8.9
114,盔林,2021-05-23,7.8
114,盔林,2021-05-24,8.1
114,盔林,2021-05-25,6.5
114,盔林,2021-05-26,7.2
114,盔林,2021-05-27,1.7
114,盔林,2021-05-28,2.2
114,盔林,2021-05-29,5.1
114,盔林,2021-05-30,9.6
114,盔林,2021-05-31,3.8
114,盔林,2021-06-01,4.5
114,盔林,2021-06-02,12.7
114,盔林,2021-06-03,1.4
114,盔林,2021-06-04,9.3
114,盔林,2021-06-05,7.3
114,盔林,2021-06-06,11.8
114,盔林,2021-06-07,3.9
114,盔林,2021-06-08,9.9
114,盔林,2021-06-09,12.7
114,盔林,2021-06-10,4.4
114,盔林,2021-06-11,3.6
114,盔林,2021-06-12,8.8
114,盔林,2021-06-13,10.9
114,盔林,2021-06-14,7.8
114,盔林,2021-06-15,1.5
114,盔林,2021-06-16,9.1
114,盔林,2021-06-17,0.3
114,盔林,2021-06-18,0.3
114,盔林,2021-06-19,10.9
114,盔林,2021-06-20,11.5
114,盔林,2021-06-21,7.6
114,盔林,2021-06-22,8.1
114,盔林,2021-06-23,2.9
114,盔林,2021-06-24,10.1
114,盔林,2021-06-25,10.7
114,盔林,2021-06-26,0.0
114,盔林,2021-06-27,7.1
114,盔林,2021-06-28,5.9
114,盔林,2021-06-29,3.9
114,盔林,2021-06-30,6.6
114,盔林,2021-07-01,10.5
114,盔林,2021-07-02,5.6
114,盔林,2021-07-03,1.0
114,盔林,2021-07-04,0.0
114,盔林,2021-07-05,2.0
114,盔林,2021-07-06,5.9
114,盔林,2021-07-07,1.6
114,盔林,2021-07-08,6.3
114,盔林,2021-07-09,4.5
114,盔林,2021-07-10,5.7
114,盔林,2021-07-11,0.4
114,盔林,2021-07-12,10.3
114,盔林,2021-07-13,11.1
114,盔林,2021-07-14,11.3
114,盔林,2021-07-15,4.7
114,盔林,2021-07-16,8.5
114,盔林,2021-07-17,8.1
114,盔林,2021-07-18,12.3
114,盔林,2021-07-19,3.8
114,盔林,2021-07-20,7.3
114,盔林,2021-07-21,12.6
114,盔林,2021-07-22,13.0
114,盔林,2021-07-23,13.3
114,盔林,2021-07-24,12.0
114,盔林,2021-07-25,11.2
114,盔林,2021-07-26,9.8
114,盔林,2021-07-27,8.9
114,盔林,2021-07-28,10.5
114,盔林,2021-07-29,9.3
114,盔林,2021-07-30,9.4
114,盔林,2021-07-31,7.3
114,盔林,2021-08-01,2.4
114,盔林,2021-08-02,1.3
114,盔林,2021-08-03,5.0
114,盔林,2021-08-04,10.7
114,盔林,2021-08-05,10.4
114,盔林,2021-08-06,6.8
114,盔林,2021-08-07,8.2
114,盔林,2021-08-08,1.3
114,盔林,2021-08-09,10.1
114,盔林,2021-08-10,9.0
114,盔林,2021-08-11,9.5
114,盔林,2021-08-12,4.2
114,盔林,2021-08-13,1.8
114,盔林,2021-08-14,3.7
114,盔林,2021-08-15,11.7
114,盔林,2021-08-16,8.3
114,盔林,2021-08-17,4.8
114,盔林,2021-08-18,3.8
114,盔林,2021-08-19,3.0
114,盔林,2021-08-20,10.2
114,盔林,2021-08-21,2.5
114,盔林,2021-08-22,0.6
114,盔林,2021-08-23,0.0
114,盔林,2021-08-24,0.6
114,盔林,2021-08-25,0.0
114,盔林,2021-08-26,1.4
114,盔林,2021-08-27,0.0
114,盔林,2021-08-28,4.3
114,盔林,2021-08-29,5.2
114,盔林,2021-08-30,0.7
114,盔林,2021-08-31,0.0
114,盔林,2021-09-01,0.0
114,盔林,2021-09-02,1.4
114,盔林,2021-09-03,9.0
114,盔林,2021-09-04,8.9
114,盔林,2021-09-05,5.5
114,盔林,2021-09-06,2.8
114,盔林,2021-09-07,0.0
114,盔林,2021-09-08,5.2
114,盔林,2021-09-09,6.8
114,盔林,2021-09-10,7.2
114,盔林,2021-09-11,9.5
114,盔林,2021-09-12,9.9
114,盔林,2021-09-13,6.9
114,盔林,2021-09-14,7.7
114,盔林,2021-09-15,8.1
114,盔林,2021-09-16,8.7
114,盔林,2021-09-17,3.3
114,盔林,2021-09-18,9.8
114,盔林,2021-09-19,6.8
114,盔林,2021-09-20,10.7
114,盔林,2021-09-21,0.9
114,盔林,2021-09-22,5.9
114,盔林,2021-09-23,5.3
114,盔林,2021-09-24,7.1
114,盔林,2021-09-25,0.0
114,盔林,2021-09-26,7.1
114,盔林,2021-09-27,4.3
114,盔林,2021-09-28,2.7
114,盔林,2021-09-29,0.0
114,盔林,2021-09-30,7.3
114,盔林,2021-10-01,8.1
114,盔林,2021-10-02,7.1
114,盔林,2021-10-03,7.9
114,盔林,2021-10-04,0.5
114,盔林,2021-10-05,6.8
114,盔林,2021-10-06,0.1
114,盔林,2021-10-07,0.0
114,盔林,2021-10-08,0.0
114,盔林,2021-10-09,2.6
114,盔林,2021-10-10,0.9
114,盔林,2021-10-11,1.0
114,盔林,2021-10-12,0.0
114,盔林,2021-10-13,8.7
114,盔林,2021-10-14,7.4
114,盔林,2021-10-15,0.0
114,盔林,2021-10-16,1.3
114,盔林,2021-10-17,10.0
114,盔林,2021-10-18,10.0
114,盔林,2021-10-19,2.0
114,盔林,2021-10-20,7.2
114,盔林,2021-10-21,8.4
114,盔林,2021-10-22,6.8
114,盔林,2021-10-23,9.8
114,盔林,2021-10-24,9.8
114,盔林,2021-10-25,9.6
114,盔林,2021-10-26,8.7
114,盔林,2021-10-27,6.5
114,盔林,2021-10-28,9.6
114,盔林,2021-10-29,9.3
114,盔林,2021-10-30,3.5
114,盔林,2021-10-31,8.9
114,盔林,2021-11-01,6.9
114,盔林,2021-11-02,7.0
114,盔林,2021-11-03,8.8
114,盔林,2021-11-04,6.3
114,盔林,2021-11-05,7.6
114,盔林,2021-11-06,8.9
114,盔林,2021-11-07,7.9
114,盔林,2021-11-08,0.5
114,盔林,2021-11-09,0.0
114,盔林,2021-11-10,1.1
114,盔林,2021-11-11,5.5
114,盔林,2021-11-12,9.4
114,盔林,2021-11-13,7.4
114,盔林,2021-11-14,4.3
114,盔林,2021-11-15,7.6
114,盔林,2021-11-16,9.0
114,盔林,2021-11-17,8.2
114,盔林,2021-11-18,3.5
114,盔林,2021-11-19,2.5
114,盔林,2021-11-20,4.9
114,盔林,2021-11-21,0.1
114,盔林,2021-11-22,7.3
114,盔林,2021-11-23,2.6
114,盔林,2021-11-24,1.7
114,盔林,2021-11-25,8.1
114,盔林,2021-11-26,5.8
114,盔林,2021-11-27,8.8
114,盔林,2021-11-28,8.0
114,盔林,2021-11-29,8.5
114,盔林,2021-11-30,0.0
114,盔林,2021-12-01,8.8
114,盔林,2021-12-02,6.3
114,盔林,2021-12-03,8.6
114,盔林,2021-12-04,8.7
114,盔林,2021-12-05,8.7
114,盔林,2021-12-06,7.9
114,盔林,2021-12-07,6.3
114,盔林,2021-12-08,8.8
114,盔林,2021-12-09,2.6
114,盔林,2021-12-10,0.3
114,盔林,2021-12-11,4.9
114,盔林,2021-12-12,8.0
114,盔林,2021-12-13,8.7
114,盔林,2021-12-14,1.3
114,盔林,2021-12-15,0.0
114,盔林,2021-12-16,1.1
114,盔林,2021-12-17,8.4
114,盔林,2021-12-18,5.8
114,盔林,2021-12-19,8.0
114,盔林,2021-12-20,1.4
114,盔林,2021-12-21,5.8
114,盔林,2021-12-22,8.6
114,盔林,2021-12-23,8.4
114,盔林,2021-12-24,0.4
114,盔林,2021-12-25,8.7
114,盔林,2021-12-26,8.7
114,盔林,2021-12-27,4.7
114,盔林,2021-12-28,0.2
114,盔林,2021-12-29,0.9
114,盔林,2021-12-30,6.7
114,盔林,2021-12-31,8.7
114,盔林,2022-01-01,8.7
114,盔林,2022-01-02,5.2
114,盔林,2022-01-03,7.7
114,盔林,2022-01-04,8.6
114,盔林,2022-01-05,4.4
114,盔林,2022-01-06,8.7
114,盔林,2022-01-07,8.7
114,盔林,2022-01-08,2.4
114,盔林,2022-01-09,3.1
114,盔林,2022-01-10,3.6
114,盔林,2022-01-11,8.2
114,盔林,2022-01-12,8.8
114,盔林,2022-01-13,8.8
114,盔林,2022-01-14,8.8
114,盔林,2022-01-15,2.5
114,盔林,2022-01-16,7.6
114,盔林,2022-01-17,6.2
114,盔林,2022-01-18,8.9
114,盔林,2022-01-19,1.8
114,盔林,2022-01-20,8.3
114,盔林,2022-01-21,9.0
114,盔林,2022-01-22,1.4
114,盔林,2022-01-23,7.5
114,盔林,2022-01-24,5.9
114,盔林,2022-01-25,0.0
114,盔林,2022-01-26,7.3
114,盔林,2022-01-27,9.1
114,盔林,2022-01-28,9.1
114,盔林,2022-01-29,9.2
114,盔林,2022-01-30,9.4
114,盔林,2022-01-31,9.3
114,盔林,2022-02-01,3.9
114,盔林,2022-02-02,8.0
114,盔林,2022-02-03,9.4
114,盔林,2022-02-04,8.6
114,盔林,2022-02-05,9.3
114,盔林,2022-02-06,9.4
114,盔林,2022-02-07,6.7
114,盔林,2022-02-08,6.7
114,盔林,2022-02-09,9.2
114,盔林,2022-02-10,9.4
114,盔林,2022-02-11,9.0
114,盔林,2022-02-12,9.0
114,盔林,2022-02-13,3.3
114,盔林,2022-02-14,2.8
114,盔林,2022-02-15,5.6
114,盔林,2022-02-16,9.4
114,盔林,2022-02-17,9.8
114,盔林,2022-02-18,9.6
114,盔林,2022-02-19,3.2
114,盔林,2022-02-20,9.8
114,盔林,2022-02-21,7.6
114,盔林,2022-02-22,9.2
114,盔林,2022-02-23,9.9
114,盔林,2022-02-24,10.0
114,盔林,2022-02-25,8.6
114,盔林,2022-02-26,6.0
114,盔林,2022-02-27,10.2
114,盔林,2022-02-28,5.8
114,盔林,2022-03-01,1.3
114,盔林,2022-03-02,10.2
114,盔林,2022-03-03,9.2
114,盔林,2022-03-04,7.8
114,盔林,2022-03-05,10.1
114,盔林,2022-03-06,10.5
114,盔林,2022-03-07,8.0
114,盔林,2022-03-08,8.6
114,盔林,2022-03-09,10.3
114,盔林,2022-03-10,8.8
114,盔林,2022-03-11,6.6
114,盔林,2022-03-12,4.3
114,盔林,2022-03-13,0.0
114,盔林,2022-03-14,1.9
114,盔林,2022-03-15,7.7
114,盔林,2022-03-16,8.0
114,盔林,2022-03-17,0.9
114,盔林,2022-03-18,0.0
114,盔林,2022-03-19,0.0
114,盔林,2022-03-20,4.3
114,盔林,2022-03-21,7.5
114,盔林,2022-03-22,11.0
114,盔林,2022-03-23,0.7
114,盔林,2022-03-24,1.4
114,盔林,2022-03-25,3.6
114,盔林,2022-03-26,0.0
114,盔林,2022-03-27,8.9
114,盔林,2022-03-28,11.2
114,盔林,2022-03-29,11.2
114,盔林,2022-03-30,4.0
114,盔林,2022-03-31,1.6
114,盔林,2022-04-01,10.0
